,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1227,42,Gillian Dietz,43,790,1244,4313582,2.280967929612048e-84,2.965258308495662e-83
835,42,Elfrieda Miranda,37,790,10166,4313582,2.3377530437539135e-36,1.5195394784400436e-35
738,42,Kristian Mccoy,11,790,205,4313582,1.050164693779488e-26,4.550713673044448e-26
369,42,Lanelle Mcdonald,25,790,7038,4313582,3.471431150272674e-25,1.128215123838619e-24
59,42,Samantha Rubio,20,790,3446,4313582,4.986621472789625e-25,1.2965215829253024e-24
1096,42,Shayla Bowie,20,790,12453,4313582,5.878017517212319e-14,1.2735704620626692e-13
1570,42,Thu Hillman,17,790,9358,4313582,4.2306370050941924e-13,7.856897295174929e-13
763,42,Ashton Hardin,31,790,49527,4313582,1.8919625979633326e-09,3.0744392216904154e-09
625,42,Luetta Stern,12,790,7546,4313582,2.747062015701127e-09,3.967978467123851e-09
305,42,Minh Beverly,14,790,11604,4313582,7.710026318595106e-09,1.0023034214173636e-08
1426,42,Alethia Milton,21,790,28732,4313582,3.664260057881896e-08,4.330489159314968e-08
341,42,Malcolm Crook,133,790,636055,4313582,0.04586837253387113,0.04969073691169373
2087,42,Cyrus Ramey,11,790,128650,4313582,0.9970968614808015,0.9970968614808015
