,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1426,8,Alethia Milton,2165,125380,28732,4313582,0.0,0.0
492,8,Mariko Hayes,2396,125380,30122,4313582,0.0,0.0
1722,8,Tod Mcdowell,3418,125380,7266,4313582,0.0,0.0
1291,8,Jessi Sorenson,689,125380,3656,4313582,0.0,0.0
341,8,Malcolm Crook,27117,125380,636055,4313582,0.0,0.0
1209,8,Garret Joseph,2922,125380,3086,4313582,0.0,0.0
744,8,Zackary Wang,468,125380,1030,4313582,0.0,0.0
862,8,Tamesha Hinton,301,125380,301,4313582,0.0,0.0
662,8,Bobbie Adcock,3600,125380,3811,4313582,0.0,0.0
1059,8,Margarito Davila,477,125380,497,4313582,0.0,0.0
1994,8,Breanne Emerson,4661,125380,5231,4313582,0.0,0.0
1548,8,Malvina Mccann,2069,125380,4853,4313582,0.0,0.0
1376,8,Marco Martin,357,125380,358,4313582,0.0,0.0
989,8,Ashlie Williamson,1253,125380,13270,4313582,7.35729283525757e-282,3.7522193459813605e-280
1630,8,Shauna Leslie,365,125380,1133,4313582,3.80045551723056e-265,1.8090168262017466e-263
2302,8,Cliff Creech,1799,125380,25267,4313582,8.848199542644954e-253,3.9485090459053105e-251
562,8,Pansy Sloan,483,125380,2421,4313582,3.4693960510106553e-245,1.4571463414244752e-243
1892,8,Molly Champion,1459,125380,19388,4313582,1.2355480742668917e-227,4.9010073612586705e-226
852,8,Jovan Hare,496,125380,3174,4313582,1.912386835398521e-202,7.186548423550232e-201
1562,8,Clotilde Mccann,560,125380,4967,4313582,1.7752653331238668e-160,6.337697239252204e-159
904,8,Dann Rivers,1099,125380,15202,4313582,1.4888726497673848e-159,5.062167009209108e-158
2154,8,Kitty Murdock,430,125380,3084,4313582,5.319678066977647e-157,1.7264773362827452e-155
1161,8,Cathrine Cameron,226,125380,806,4313582,2.1126936322423166e-150,6.558535884439193e-149
1197,8,Emogene Fitzgerald,399,125380,2866,4313582,1.2082542086257547e-145,3.5945562706616205e-144
1879,8,Shanae Corbett,370,125380,2562,4313582,2.100179392566337e-140,5.998112345169459e-139
2228,8,Fe Jarrett,1006,125380,14605,4313582,4.678438036046135e-133,1.2847710606680538e-131
1605,8,Charisse Schmidt,1455,125380,24974,4313582,3.10208734531712e-131,8.203297646505274e-130
1096,8,Shayla Bowie,855,125380,12453,4313582,1.1767538759511423e-112,3.0007223836754128e-111
156,8,Paz Parson,138,125380,398,4313582,3.4789161404543275e-107,8.56533146304962e-106
1373,8,Percy Rowland,408,125380,3951,4313582,2.526399295857916e-105,6.012830324141839e-104
2299,8,Delia Shockley,1122,125380,19187,4313582,1.489345825904955e-102,3.430299740955283e-101
1708,8,Jackson Swann,206,125380,1112,4313582,8.276280232498646e-100,1.8466450268762604e-98
2138,8,Lucile Cardwell,475,125380,5403,4313582,1.7750813875727505e-97,3.840630638566496e-96
407,8,Shellie Blount,375,125380,3859,4313582,1.9027003147498503e-89,3.995670660974686e-88
87,8,Akiko Hamilton,277,125380,2372,4313582,4.3475868348827035e-84,8.869077143160716e-83
1140,8,Fumiko Landrum,144,125380,714,4313582,9.581416599968548e-76,1.9003142923270952e-74
1028,8,Charmain Chan,428,125380,5494,4313582,1.5851166015558991e-72,3.0588466311105727e-71
2311,8,Jannie Radford,149,125380,848,4313582,1.0312712549150968e-69,1.9377044105509977e-68
1206,8,Lauretta Sweet,188,125380,1398,4313582,1.4250709863248833e-67,2.608976113425556e-66
1004,8,Leanora Mullins,213,125380,1892,4313582,1.6862775079145876e-62,3.0100053516275387e-61
1357,8,Julie Laws,514,125380,7842,4313582,2.170508925494462e-62,3.7798618848854785e-61
308,8,Haley Fitzgerald,468,125380,6936,4313582,1.6027763622955622e-60,2.724719815902456e-59
771,8,Denese Ellsworth,95,125380,375,4313582,1.7836202408754336e-60,2.9616391906629294e-59
97,8,Cecilia Smiley,148,125380,1045,4313582,1.198677351995264e-56,1.9451264302832238e-55
1773,8,Herbert Roy,106,125380,526,4313582,1.8873360806997174e-56,2.9945732480435516e-55
606,8,Riva Crowley,119,125380,678,4313582,3.619175283195052e-56,5.617589461307103e-55
2141,8,Eleonore Daugherty,238,125380,2499,4313582,4.188179683349309e-56,6.362468710449802e-55
2201,8,Shandi Childress,112,125380,609,4313582,3.526243797645879e-55,5.245287648998245e-54
2136,8,Maisie Castro,624,125380,11005,4313582,1.3728867523082247e-53,2.0004921247919843e-52
1118,8,Susy Cuevas,267,125380,3172,4313582,2.8417496198972518e-52,4.0580184572132756e-51
440,8,Roma Holbrook,82,125380,331,4313582,9.422886943156579e-52,1.319204172041921e-50
