,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
242,26,Torie Shelton,221,8765,2757,4313582,5.194790755700675e-268,7.272707057980945e-266
341,26,Malcolm Crook,2168,8765,636055,4313582,5.482381550436358e-133,3.837667085305451e-131
1716,26,Amee Lee,74,8765,4825,4313582,2.9421237718411543e-40,1.3729910935258719e-38
782,26,Hana Crouch,61,8765,3573,4313582,3.3645158042747134e-36,1.1775805314961498e-34
1426,26,Alethia Milton,174,8765,28732,4313582,2.6599439015391063e-35,7.447842924309498e-34
1549,26,Hsiu Layne,70,8765,5112,4313582,3.5760916302620475e-35,8.344213803944778e-34
419,26,Carson Mayer,55,8765,3115,4313582,1.2490337029422976e-33,2.498067405884595e-32
1570,26,Thu Hillman,90,8765,9358,4313582,7.269234088448608e-33,1.2721159654785064e-31
17,26,Gisela Barnard,61,8765,4253,4313582,4.6658992753377906e-32,7.258065539414342e-31
7,26,Sharron Camp,79,8765,7487,4313582,9.589439593333412e-32,1.3425215430666777e-30
1197,26,Emogene Fitzgerald,51,8765,2866,4313582,1.5588984517355005e-31,1.9840525749360917e-30
1135,26,Luanna Flood,61,8765,4537,4313582,1.5028453641788341e-30,1.618448853731052e-29
1410,26,Thuy Gant,19,8765,143,4313582,1.4489300017090478e-30,1.618448853731052e-29
997,26,Ashleigh Mccain,53,8765,3303,4313582,1.6855289414031094e-30,1.6855289414031093e-29
2040,26,Kristine Serrano,29,8765,678,4313582,7.845722607514387e-30,7.322674433680095e-29
1841,26,Cleora Dobbins,43,8765,2068,4313582,1.0542421343910333e-29,9.224618675921542e-29
1950,26,Darlena Cardwell,54,8765,3644,4313582,2.3730348128471984e-29,1.9542639635212222e-28
1,26,Yukiko Stamper,42,8765,2001,4313582,3.0908589205900017e-29,2.4040013826811126e-28
598,26,Judie Friedman,52,8765,3372,4313582,3.6487571245861506e-29,2.688557881274006e-28
1373,26,Percy Rowland,55,8765,3951,4313582,1.602174712997375e-28,1.1215222990981626e-27
1700,26,Juli Mcmahan,57,8765,4357,4313582,4.055417521669919e-28,2.7036116811132794e-27
124,26,Lindsey Stanford,50,8765,3383,4313582,2.585265841122792e-27,1.645169171623595e-26
362,26,Bibi Galindo,51,8765,3572,4313582,3.9705407806351144e-27,2.4168509099518087e-26
2262,26,Linnea Coleman,27,8765,683,4313582,4.8129801394997926e-27,2.8075717480415455e-26
158,26,Catina Lovett,59,8765,5100,4313582,2.659170523389145e-26,1.4891354930979212e-25
350,26,Arianne Fountain,52,8765,4090,4313582,2.6267621323231605e-25,1.4144103789432401e-24
613,26,Malia Stover,51,8765,3945,4313582,3.440549527235364e-25,1.78398864375167e-24
1007,26,Verena Duncan,30,8765,1138,4313582,1.6811835532712865e-24,8.405917766356432e-24
828,26,Gema Curry,47,8765,3444,4313582,2.2234898793961506e-24,1.0734089072946933e-23
1599,26,Syble Shuler,44,8765,3059,4313582,7.096629776162251e-24,3.3117605622090506e-23
1884,26,Ilene Scott,44,8765,3062,4313582,7.375229463925924e-24,3.3307487901600947e-23
2284,26,Roni Murray,21,8765,442,4313582,2.1219596726475983e-23,9.283573567833242e-23
