,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
102,43,Rickie Painter,285,101323,393,4313582,0.0,0.0
661,43,Charlyn Banks,412,101323,435,4313582,0.0,0.0
1587,43,Lonnie Sampson,495,101323,1204,4313582,0.0,0.0
107,43,Sage Vaughan,568,101323,1148,4313582,0.0,0.0
341,43,Malcolm Crook,22015,101323,636055,4313582,0.0,0.0
1853,43,Nadine Hanks,325,101323,329,4313582,0.0,0.0
870,43,Cristen Castaneda,237,101323,237,4313582,0.0,0.0
1965,43,Marci Lau,4068,101323,4316,4313582,0.0,0.0
1956,43,Irish Downs,358,101323,866,4313582,0.0,0.0
2049,43,Emerita Faulk,560,101323,565,4313582,0.0,0.0
2111,43,Naoma Allred,529,101323,1311,4313582,0.0,0.0
2118,43,Chase Hearn,672,101323,727,4313582,0.0,0.0
2239,43,Miyoko Bright,423,101323,1034,4313582,0.0,0.0
2042,43,Gabriel Velasco,116,101323,116,4313582,0.0,0.0
1734,43,Lady Swift,313,101323,645,4313582,2.5e-323,9.1e-322
1457,43,Ward Adamson,198,101323,200,4313582,1.04e-322,3.57e-321
957,43,Mariam Lund,1381,101323,17687,4313582,3.480974e-318,1.12824515e-316
2299,43,Delia Shockley,1428,101323,19187,4313582,3.2546284728994527e-307,9.962779380931103e-306
818,43,Herb Lopes,291,101323,652,4313582,4.455890426601337e-287,1.2922082237143878e-285
303,43,Vonda Colbert,199,101323,244,4313582,2.9262882826364226e-278,8.061924218663344e-277
1610,43,Sonja Killian,915,101323,9478,4313582,1.0983278197390442e-276,2.8818029936962545e-275
2146,43,Tam Whittington,287,101323,699,4313582,4.011738408773723e-270,1.0047581196519643e-268
1189,43,Jimmie Ratliff,182,101323,216,4313582,2.75620842631573e-260,6.602916708260727e-259
1300,43,Yessenia Joyce,183,101323,232,4313582,7.15558382526673e-251,1.64280278655082e-249
1822,43,Dario Murdock,248,101323,558,4313582,1.413222800734503e-244,3.1147430528188447e-243
1162,43,Andreas Berg,471,101323,2886,4313582,3.301473762497944e-238,6.99658478129372e-237
3,43,Donnette Sewell,724,101323,7010,4313582,9.89637457225204e-237,2.019593477522546e-235
161,43,Danna Barber,143,101323,144,4313582,2.302300655149421e-235,4.5305987892404674e-234
1169,43,Leila Askew,145,101323,148,4313582,1.3145160240785897e-234,2.4975804457493206e-233
63,43,Fritz Vann,716,101323,7128,4313582,5.190432632646739e-227,9.533094601961176e-226
82,43,Louella Burden,170,101323,226,4313582,1.1251764179222308e-226,1.999910342823062e-225
234,43,Daine Morgan,629,101323,5615,4313582,1.302334635230783e-224,2.2424574500380043e-223
86,43,Kristian Block,583,101323,4920,4313582,1.3802083887393678e-220,2.3045297642284595e-219
1349,43,Tillie Anthony,139,101323,147,4313582,1.6414296552118185e-217,2.6600815882991528e-216
324,43,Rolf Diggs,780,101323,8716,4313582,1.1006161496920463e-215,1.7326842813723358e-214
500,43,Cecily Brantley,764,101323,8618,4313582,7.453703318875574e-209,1.1408307024167895e-207
407,43,Shellie Blount,496,101323,3859,4313582,2.0373101394009573e-203,3.0339402346214255e-202
872,43,Alexander Ly,528,101323,4430,4313582,3.614708531633094e-201,5.241327370867987e-200
1555,43,Kia Sampson,490,101323,3812,4313582,5.281235642387806e-201,7.461438048604311e-200
272,43,Thalia Stoddard,136,101323,167,4313582,3.285203580839562e-191,4.525367932606497e-190
920,43,Angelita Roe,553,101323,5129,4313582,5.436351281907368e-190,7.305925747148682e-189
1538,43,Jaye Velasco,850,101323,12207,4313582,5.32462111455723e-166,6.985395795526271e-165
2252,43,Delfina Nesbitt,178,101323,447,4313582,6.997673801454217e-166,8.966786661863426e-165
1954,43,Marie Manley,109,101323,124,4313582,4.61409959283608e-162,5.778111081028819e-161
1710,43,Carolyn Dominguez,107,101323,126,4313582,1.96146173438662e-155,2.401700923660061e-154
1785,43,Genia Mosher,735,101323,10148,4313582,1.0737469295605982e-152,1.2861620830171512e-151
1163,43,Angie Mchugh,173,101323,488,4313582,7.672778821147754e-151,8.995108788196622e-150
233,43,Michiko Pickens,155,101323,374,4313582,3.4438772118389976e-148,3.9532840494235163e-147
2192,43,Thresa Tracy,441,101323,4238,4313582,2.468832859310796e-146,2.776177358122956e-145
396,43,Kenyatta Hoff,481,101323,4994,4313582,3.9062364284625216e-146,4.304672544165699e-145
1029,43,Shay Lucas,146,101323,329,4313582,3.048768116064636e-145,3.2938651606894404e-144
1974,43,Pasty Rock,401,101323,3571,4313582,1.8235659402478e-144,1.9322785251471878e-143
639,43,Danna Kenny,586,101323,7206,4313582,7.775302615760791e-144,8.0833806439324445e-143
1426,43,Alethia Milton,1398,101323,28732,4313582,4.331005893081296e-136,4.4192300871996193e-135
1671,43,Rene Grayson,171,101323,592,4313582,8.352774812673525e-132,8.367961675969296e-131
1302,43,Hanna Avila,347,101323,3026,4313582,4.5481544513776415e-128,4.475059111980501e-127
2228,43,Fe Jarrett,857,101323,14605,4313582,5.47908480047199e-125,5.296448640456257e-124
89,43,Rolf Frye,134,101323,369,4313582,3.242752714343597e-119,3.0806150786264173e-118
2303,43,Shasta Anderson,112,101323,243,4313582,1.428627705021791e-114,1.3341929923169608e-113
1230,43,Maia Coffman,364,101323,3867,4313582,2.8193603091145877e-108,2.5891125505368965e-107
1320,43,Rocio Escobedo,1013,101323,20109,4313582,1.831519248776959e-107,1.6543723050427941e-106
970,43,Mack Richter,234,101323,1690,4313582,3.391164036746284e-104,3.013760297172907e-103
2274,43,Wes Kelley,226,101323,1665,4313582,5.9061696832010094e-99,5.165554754672629e-98
180,43,Dimple Mcwilliams,76,101323,121,4313582,2.620930473634447e-93,2.2564573296446567e-92
1081,43,Leta Girard,391,101323,5073,4313582,5.612216831854929e-90,4.7574330374647166e-89
2286,43,Lindsay Bentley,483,101323,7708,4313582,2.8979240176625326e-80,2.4193274753515992e-79
2200,43,Yee Hahn,474,101323,7613,4313582,6.041335320340447e-78,4.968322032100875e-77
190,43,Kaila Parrott,344,101323,4767,4313582,2.5776432375079283e-72,2.088649152745395e-71
1492,43,Tracy Pennington,303,101323,4144,4313582,3.1973861101818714e-65,2.5532749952321903e-64
