,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
2320,59,Sharyn Medeiros,1229,828083,1655,4313582,0.0,0.0
1787,59,Franchesca Grubbs,3052,828083,3060,4313582,0.0,0.0
322,59,Janey Anaya,718,828083,718,4313582,0.0,0.0
904,59,Dann Rivers,6571,828083,15202,4313582,0.0,0.0
2235,59,Birdie Sisk,1009,828083,1327,4313582,0.0,0.0
1795,59,Dotty Sorenson,3698,828083,4745,4313582,0.0,0.0
1196,59,Elvin Choi,3209,828083,5719,4313582,0.0,0.0
1215,59,Calvin Dias,4580,828083,4804,4313582,0.0,0.0
2232,59,Omar Hinson,183,828083,183,4313582,0.0,0.0
1798,59,Glen Humphries,563,828083,563,4313582,0.0,0.0
315,59,Ernesto Ham,2352,828083,2352,4313582,0.0,0.0
909,59,Dolly Bragg,7055,828083,19572,4313582,0.0,0.0
1892,59,Molly Champion,10973,828083,19388,4313582,0.0,0.0
1174,59,Rodrigo Mason,925,828083,1104,4313582,0.0,0.0
308,59,Haley Fitzgerald,2861,828083,6936,4313582,0.0,0.0
1195,59,Erwin Oleary,3504,828083,4949,4313582,0.0,0.0
913,59,Shenna Gunn,803,828083,976,4313582,0.0,0.0
2241,59,Seymour Dill,1061,828083,1304,4313582,0.0,0.0
344,59,Shawnta Jensen,2145,828083,2372,4313582,0.0,0.0
111,59,Raleigh Meredith,5864,828083,9592,4313582,0.0,0.0
1931,59,Henrietta Buchanan,908,828083,1055,4313582,0.0,0.0
808,59,Breanne Blackwell,990,828083,1453,4313582,0.0,0.0
822,59,Sheree Bennett,108,828083,108,4313582,0.0,0.0
832,59,Shirley Crow,1748,828083,2070,4313582,0.0,0.0
1768,59,Araceli Anders,1444,828083,2552,4313582,0.0,0.0
325,59,Pearl Barnett,724,828083,758,4313582,0.0,0.0
833,59,Lee Lombardo,110,828083,110,4313582,0.0,0.0
1770,59,Polly Carroll,2489,828083,5061,4313582,0.0,0.0
835,59,Elfrieda Miranda,4618,828083,10166,4313582,0.0,0.0
1244,59,Ching Mosley,2086,828083,2850,4313582,0.0,0.0
129,59,Blanca Smart,1780,828083,2275,4313582,0.0,0.0
2244,59,Elinore Aguirre,613,828083,613,4313582,0.0,0.0
849,59,Werner Zuniga,2008,828083,2479,4313582,0.0,0.0
2248,59,Tequila Curtis,872,828083,1119,4313582,0.0,0.0
1165,59,Augustine Aguirre,3275,828083,4515,4313582,0.0,0.0
1891,59,Katrice Prince,2750,828083,4009,4313582,0.0,0.0
1160,59,Flora Ashby,1527,828083,1671,4313582,0.0,0.0
1823,59,Lemuel Bourgeois,496,828083,499,4313582,0.0,0.0
1868,59,Hue Craft,5684,828083,9122,4313582,0.0,0.0
1824,59,Phoebe Mcgrath,1435,828083,1690,4313582,0.0,0.0
