,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
131,23,Yanira Reyna,425,167808,534,4313582,0.0,0.0
1392,23,Carolin German,1354,167808,2157,4313582,0.0,0.0
1131,23,Alaine Staton,318,167808,318,4313582,0.0,0.0
1999,23,Mariah Caudill,551,167808,913,4313582,0.0,0.0
659,23,Simona Beck,413,167808,420,4313582,0.0,0.0
484,23,Joi Brannon,612,167808,670,4313582,0.0,0.0
926,23,Traci Caudill,1027,167808,1241,4313582,0.0,0.0
1596,23,Jacob Gallegos,103,167808,103,4313582,0.0,0.0
1600,23,Twyla Diamond,798,167808,3474,4313582,0.0,0.0
2057,23,Carina Walls,144,167808,144,4313582,0.0,0.0
1959,23,Flo Nobles,212,167808,212,4313582,0.0,0.0
1320,23,Rocio Escobedo,2563,167808,20109,4313582,0.0,0.0
1301,23,Melvina Bright,394,167808,396,4313582,0.0,0.0
728,23,Reuben Mullen,406,167808,443,4313582,0.0,0.0
280,23,Christi Busch,2648,167808,2732,4313582,0.0,0.0
852,23,Jovan Hare,2675,167808,3174,4313582,0.0,0.0
2182,23,Denver Goss,984,167808,1044,4313582,0.0,0.0
2302,23,Cliff Creech,2402,167808,25267,4313582,0.0,0.0
1879,23,Shanae Corbett,2118,167808,2562,4313582,0.0,0.0
1306,23,Johna Kane,390,167808,418,4313582,0.0,0.0
519,23,Evelina Tanner,617,167808,954,4313582,0.0,0.0
1397,23,Neville Escobar,286,167808,287,4313582,0.0,0.0
1335,23,Lakendra Schuster,102,167808,102,4313582,0.0,0.0
701,23,Tayna Ames,1785,167808,2947,4313582,0.0,0.0
439,23,Sharan Maldonado,283,167808,370,4313582,6.23115e-317,2.163455277e-315
904,23,Dann Rivers,1613,167808,15202,4313582,1.7090651311878913e-279,5.705648207196499e-278
1504,23,Ed Irvin,551,167808,2274,4313582,2.4735931427652515e-263,7.952143881186067e-262
1610,23,Sonja Killian,1173,167808,9478,4313582,4.63235492862157e-260,1.4360300278726867e-258
1118,23,Susy Cuevas,626,167808,3172,4313582,8.137618918965724e-246,2.43567352471112e-244
441,23,Maira Gay,918,167808,6558,4313582,5.829014132481057e-242,1.6865280889978524e-240
1892,23,Molly Champion,1780,167808,19388,4313582,3.968125009461986e-235,1.111075002649356e-233
1468,23,Briana Lugo,658,167808,3766,4313582,4.352664297360342e-227,1.1806601906589929e-225
1872,23,Dollie Hobson,543,167808,2739,4313582,1.4851765660536302e-214,3.906464422225912e-213
925,23,Katharine Avila,152,167808,154,4313582,2.5562293704998633e-214,6.525903216452592e-213
591,23,Mahalia Andrade,2298,167808,29818,4313582,1.4647712789475552e-202,3.632632771789937e-201
1691,23,Stacia Richards,307,167808,887,4313582,7.26507853160472e-198,1.7516911570646935e-196
1251,23,Zula Daly,253,167808,571,4313582,1.7496186622905273e-195,4.1045108077518315e-194
1022,23,Alva Swanson,234,167808,491,4313582,2.2735497092298123e-190,5.19326617792494e-189
308,23,Haley Fitzgerald,856,167808,6936,4313582,1.4105307262603093e-189,3.1393350522921756e-188
1099,23,Twanda Story,586,167808,3635,4313582,7.008569453094936e-185,1.520859571321601e-183
179,23,Monte Ernst,417,167808,1887,4313582,8.339968688180067e-184,1.7656323954488532e-182
1264,23,Simona Tackett,134,167808,142,4313582,6.350355373556998e-180,1.3124067772017797e-178
1889,23,Felicita Lester,139,167808,154,4313582,5.666735965397751e-179,1.1438899576663367e-177
380,23,Mattie Nguyen,149,167808,187,4313582,1.2489685147564895e-173,2.4638742518378017e-172
930,23,Mauricio Mcgee,557,167808,3621,4313582,2.4504913201384055e-166,4.726725479733635e-165
1768,23,Araceli Anders,430,167808,2552,4313582,2.03213073217546e-143,3.834542338104998e-142
503,23,Shanae Calloway,192,167808,465,4313582,6.121955979835412e-142,1.1306080405313058e-140
1096,23,Shayla Bowie,1118,167808,12453,4313582,1.1951581871857148e-141,2.1612443884941675e-140
1357,23,Julie Laws,815,167808,7842,4313582,3.397941192605846e-137,6.019210112616071e-136
220,23,Madalyn Ross,197,167808,522,4313582,1.7480780413872145e-136,3.0346634798482047e-135
1891,23,Katrice Prince,529,167808,4009,4313582,8.611994827799919e-130,1.4657277471628097e-128
1909,23,Davina Hoover,119,167808,168,4313582,2.7718653636052003e-128,4.6268829530948346e-127
244,23,Latarsha Carnes,543,167808,4302,4313582,3.9515999357934414e-125,6.471676875978693e-124
250,23,Alfredia Graves,307,167808,1547,4313582,1.296595806705579e-122,2.0841577041119306e-121
463,23,Lawerence Gaskins,145,167808,303,4313582,1.6307451285205656e-119,2.573612311919729e-118
1292,23,Leeanne Duff,214,167808,764,4313582,1.1888230381854756e-117,1.8426757091874872e-116
2095,23,Margherita Isaac,104,167808,138,4313582,1.7307063958582847e-117,2.6355318449210374e-116
2116,23,Jazmin Rosen,124,167808,215,4313582,2.571500119497902e-116,3.8483829374554814e-115
453,23,Blake Huber,429,167808,3060,4313582,1.2889640530498538e-114,1.8963064373682597e-113
1423,23,Marlene Compton,546,167808,4613,4313582,1.9202140782621454e-114,2.7779096998859035e-113
651,23,Clint Norton,142,167808,316,4313582,3.497412487986828e-112,4.976645966512404e-111
400,23,Cordie Goodrich,191,167808,652,4313582,3.2870149939794617e-109,4.601820991571247e-108
1698,23,Lashaun Longoria,443,167808,3369,4313582,1.40857526026488e-108,1.940703691920501e-107
1315,23,Phylis Cunningham,170,167808,507,4313582,2.6354872399364246e-108,3.574379569163776e-107
1724,23,Jeannette Youngblood,369,167808,2493,4313582,5.636131558078419e-106,7.526403372941643e-105
1548,23,Malvina Mccann,541,167808,4853,4313582,2.8272161198310234e-103,3.718217563656558e-102
440,23,Roma Holbrook,137,167808,331,4313582,2.453355150927198e-102,3.178376523887773e-101
1426,23,Alethia Milton,1882,167808,28732,4313582,5.471844452281311e-102,6.984648506735557e-101
1436,23,Camilla Cloud,257,167808,1344,4313582,2.6526914154906875e-99,3.3370089110810384e-98
