,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
341,39,Malcolm Crook,446,1160,636055,4313582,2.0547399967220044e-87,1.849265997049804e-86
1320,39,Rocio Escobedo,86,1160,20109,4313582,6.135583688555314e-73,2.761012659849891e-72
2059,39,Marilu Tucker,59,1160,17491,4313582,6.398673581799196e-45,1.9196020745397588e-44
2087,39,Cyrus Ramey,113,1160,128650,4313582,8.436036087125049e-28,1.898108119603136e-27
1605,39,Charisse Schmidt,30,1160,24974,4313582,6.2616413908021324e-12,1.1270954503443838e-11
872,39,Alexander Ly,12,1160,4430,4313582,4.836460325972066e-10,7.254690488958099e-10
763,39,Ashton Hardin,36,1160,49527,4313582,5.746950609685678e-08,7.388936498167301e-08
324,39,Rolf Diggs,12,1160,8716,4313582,1.1300576309359026e-06,1.2713148348028905e-06
1785,39,Genia Mosher,12,1160,10148,4313582,5.763737806757286e-06,5.763737806757286e-06
