,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1320,5,Rocio Escobedo,106,3138,20109,4313582,4.099334881625616e-55,3.1154945100354687e-53
454,5,Flor Mcdowell,32,3138,1484,4313582,3.085287819528092e-37,1.1724093714206751e-35
613,5,Malia Stover,43,3138,3945,4313582,1.9817928090559396e-36,5.020541782941714e-35
1716,5,Amee Lee,42,3138,4825,4313582,1.0094505271873002e-31,1.9179560016558706e-30
124,5,Lindsey Stanford,36,3138,3383,4313582,1.3716987804481666e-30,2.0849821462812132e-29
690,5,Tracey Lackey,36,3138,3410,4313582,1.8091555334696168e-30,2.2915970090615148e-29
65,5,Shaunte Easley,39,3138,4364,4313582,4.513189984288939e-30,4.900034840085134e-29
1502,5,Heather Huddleston,36,3138,3997,4313582,4.4050414978863875e-28,4.184789422992069e-27
1789,5,Tamesha Blanco,31,3138,2704,4313582,1.0550023466997078e-27,8.9089087054642e-27
17,5,Gisela Barnard,34,3138,4253,4313582,5.363334348189377e-25,4.076134104623927e-24
381,5,Tanesha Paige,31,3138,3514,4313582,2.7404541417595957e-24,1.8934046797611752e-23
1458,5,Holley Oconnor,15,3138,345,4313582,6.400276231025451e-24,4.053508279649453e-23
2142,5,Myriam Glover,29,3138,3053,4313582,8.612834157729422e-24,5.035195353749508e-23
1093,5,Yoko Snyder,27,3138,2793,4313582,1.5480720819866872e-22,8.403819873642016e-22
1849,5,Kaye Combs,27,3138,3005,4313582,1.0462383835121915e-21,4.96963232168291e-21
1729,5,Suzette Pace,27,3138,3003,4313582,1.0282569699076993e-21,4.96963232168291e-21
782,5,Hana Crouch,28,3138,3573,4313582,8.065735484277455e-21,3.605858216500509e-20
828,5,Gema Curry,27,3138,3444,4313582,3.566770278382223e-20,1.5059696730947164e-19
1135,5,Luanna Flood,30,3138,4537,4313582,4.869753287667621e-20,1.9479013150670484e-19
362,5,Bibi Galindo,27,3138,3572,4313582,9.101752292113971e-20,3.458665871003309e-19
42,5,Georgianna Echols,23,3138,2368,4313582,1.2077823562030185e-19,4.371021860544257e-19
1571,5,Lorrie Shipley,26,3138,3374,4313582,2.4429087480926235e-19,8.439139311592699e-19
15,5,Louanne Finn,25,3138,3059,4313582,2.6360598589817734e-19,8.710458664461512e-19
414,5,Magdalen Tuttle,25,3138,3067,4313582,2.806463544281899e-19,8.88713455689268e-19
357,5,Kyla Edwards,23,3138,2502,4313582,4.151450274048185e-19,1.262040883310648e-18
1950,5,Darlena Cardwell,26,3138,3644,4313582,1.631563459216033e-18,4.7691854961699426e-18
1084,5,Otto Goldsmith,24,3138,2987,4313582,1.8132116818017307e-18,5.103855104330797e-18
209,5,Karma Nichols,24,3138,3272,4313582,1.465674861712201e-17,3.9782603389331175e-17
388,5,Frank Hawk,26,3138,4013,4313582,1.7232501493743763e-17,4.5161038397397443e-17
350,5,Arianne Fountain,26,3138,4090,4313582,2.7335977636790744e-17,6.925114334653655e-17
614,5,Vernia Sousa,22,3138,2772,4313582,4.935677809987141e-17,1.172223479871946e-16
1743,5,Kimberely Hutchison,22,3138,2771,4313582,4.8981049143470525e-17,1.172223479871946e-16
40,5,Tomi Stubbs,22,3138,2869,4313582,1.0213543433075169e-16,2.3522100027688266e-16
1794,5,Kandis Funk,23,3138,3332,4313582,2.3282474892031594e-16,5.204317917042356e-16
598,5,Judie Friedman,23,3138,3372,4313582,3.0188108560258086e-16,6.555132144513184e-16
