,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1693,18,Lissa Church,297,4441,350,4313582,0.0,0.0
2269,18,Caroline Mcgraw,495,4441,608,4313582,0.0,0.0
1167,18,Michell Medeiros,157,4441,168,4313582,0.0,0.0
371,18,Ermelinda Shultz,192,4441,333,4313582,0.0,0.0
700,18,Freida Quick,98,4441,111,4313582,2.3167819007062434e-281,2.6411313668051176e-280
1170,18,Loren Krueger,103,4441,7975,4313582,7.145053084449167e-76,6.787800430226709e-75
2071,18,Morris Stovall,90,4441,14807,4313582,4.226737930329709e-40,3.441772314697049e-39
305,18,Minh Beverly,72,4441,11604,4313582,4.231117425704102e-33,3.0146711658141726e-32
625,18,Luetta Stern,55,4441,7546,4313582,3.3059103139714134e-29,2.093743198848562e-28
2088,18,Janell Riddick,14,4441,165,4313582,9.497591344632074e-25,5.413627066440282e-24
274,18,Carolynn Dozier,20,4441,654,4313582,1.7944998216304326e-24,9.298771802994061e-24
769,18,Chery Agee,30,4441,2273,4313582,2.708513309394124e-24,1.2865438219622089e-23
678,18,Kiera Flood,87,4441,23624,4313582,1.0939503668197236e-23,4.7965516083634035e-23
1437,18,Shena Isaac,18,4441,933,4313582,1.2579083896538553e-18,5.121484157876411e-18
188,18,Kacie Diamond,16,4441,725,4313582,7.880093049315501e-18,2.9944353587398904e-17
1426,18,Alethia Milton,80,4441,28732,4313582,3.846030354746772e-15,1.3701483138785377e-14
1227,18,Gillian Dietz,16,4441,1244,4313582,5.004027969561453e-14,1.6778211427353107e-13
580,18,Samual David,16,4441,1304,4313582,1.057152959506765e-13,3.3476510384380894e-13
747,18,Garret Jacobsen,88,4441,35618,4313582,1.426196652836734e-13,4.278589958510202e-13
506,18,Annalisa Hobbs,15,4441,2020,4313582,7.795115196175011e-10,2.221607830909878e-09
1885,18,Kiara Lofton,14,4441,2035,4313582,6.727542974189949e-09,1.8260473787087004e-08
599,18,Dwain Mcmillian,26,4441,6913,4313582,9.53612998623652e-09,2.4707245873430987e-08
932,18,Blondell Carney,11,4441,1270,4313582,1.4850321197926886e-08,3.6802969925297067e-08
1871,18,Bree Valencia,11,4441,1290,4313582,1.759320377482137e-08,4.1783858965200753e-08
324,18,Rolf Diggs,29,4441,8716,4313582,2.4128246697563467e-08,5.5012402470444705e-08
524,18,Maryanna Croft,12,4441,1931,4313582,1.8599745968782905e-07,4.0776366162331756e-07
763,18,Ashton Hardin,90,4441,49527,4313582,2.3062411403694978e-07,4.868731296335606e-07
2176,18,Tiffany Mcconnell,12,4441,2335,4313582,1.5124353539672383e-06,2.972717764694227e-06
872,18,Alexander Ly,17,4441,4430,4313582,1.500186278068306e-06,2.972717764694227e-06
544,18,Sharie Brenner,16,4441,4222,4313582,3.255386290896098e-06,6.185233952702587e-06
1446,18,Angella Rosenthal,12,4441,2795,4313582,1.0219901280982809e-05,1.879143138761355e-05
670,18,Della Donnelly,21,4441,7235,4313582,1.122429938944915e-05,1.9993283287456298e-05
59,18,Samantha Rubio,13,4441,3446,4313582,2.0971001360326537e-05,3.622263871329129e-05
396,18,Kenyatta Hoff,16,4441,4994,4313582,2.7226293035333913e-05,4.564407950041274e-05
909,18,Dolly Bragg,39,4441,19572,4313582,5.8875511073284836e-05,9.588297517649244e-05
663,18,Slyvia Dupre,11,4441,2887,4313582,6.40967153494811e-05,0.00010148646597001175
477,18,Randall Dubose,11,4441,3592,4313582,0.00046069487196579307,0.0007097191270824379
500,18,Cecily Brantley,19,4441,8618,4313582,0.0008751437726871271,0.0013127156590306906
884,18,Kristin Vernon,21,4441,10096,4313582,0.00111167834374582,0.0016247606562438909
941,18,Clifford Richard,12,4441,4600,4313582,0.0012468685234251807,0.0017767876458808826
355,18,Summer Eubanks,13,4441,5358,4313582,0.0017066951869998518,0.0023727225770485746
3,18,Donnette Sewell,15,4441,7010,4313582,0.003176814479022136,0.004311391078672898
190,18,Kaila Parrott,11,4441,4767,4313582,0.00468647322099614,0.006212301711553022
2200,18,Yee Hahn,11,4441,7613,4313582,0.10027791479976227,0.12990548053605566
1785,18,Genia Mosher,14,4441,10148,4313582,0.10850402718136232,0.1374384344297256
2130,18,Sina Donaldson,24,4441,20065,4313582,0.19517982588889743,0.24185326251450334
2136,18,Maisie Castro,13,4441,11005,4313582,0.24985330426858138,0.30301358177253485
1404,18,Tennille Conway,21,4441,18328,4313582,0.263909160494889,0.30699637037160554
1570,18,Thu Hillman,11,4441,9358,4313582,0.2622578927369382,0.30699637037160554
1096,18,Shayla Bowie,13,4441,12453,4313582,0.40722864493281924,0.46424065522341396
2081,18,Vannessa Holman,13,4441,16086,4313582,0.7693474793496526,0.8598589475084353
1906,18,Leanora Dill,14,4441,17499,4313582,0.7936292963001912,0.869939805559825
2299,18,Delia Shockley,15,4441,19187,4313582,0.8310897097819632,0.8938134614636207
591,18,Mahalia Andrade,18,4441,29818,4313582,0.9907278164079341,0.9999999970291241
2087,18,Cyrus Ramey,51,4441,128650,4313582,0.9999999970291241,0.9999999970291241
341,18,Malcolm Crook,606,4441,636055,4313582,0.9804692555849822,0.9999999970291241
2171,18,Ernesto Woodward,16,4441,25471,4313582,0.9778058577446367,0.9999999970291241
