,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
234,22,Daine Morgan,815,76437,5615,4313582,0.0,0.0
736,22,Mariam Horton,357,76437,454,4313582,0.0,0.0
1799,22,Nydia Pyle,263,76437,444,4313582,0.0,0.0
1302,22,Hanna Avila,993,76437,3026,4313582,0.0,0.0
2014,22,Perry Montoya,957,76437,964,4313582,0.0,0.0
957,22,Mariam Lund,2146,76437,17687,4313582,0.0,0.0
1513,22,Melissia Hewitt,754,76437,3318,4313582,0.0,0.0
1240,22,Tenisha Rader,969,76437,1071,4313582,0.0,0.0
86,22,Kristian Block,728,76437,4920,4313582,0.0,0.0
1610,22,Sonja Killian,1732,76437,9478,4313582,0.0,0.0
2192,22,Thresa Tracy,616,76437,4238,4313582,0.0,0.0
212,22,Jewell Pyle,334,76437,342,4313582,0.0,0.0
1460,22,Mika Banks,1004,76437,1005,4313582,0.0,0.0
444,22,Kirstin Valle,129,76437,129,4313582,0.0,0.0
171,22,Rob Chambers,301,76437,330,4313582,0.0,0.0
1139,22,Suanne Moran,951,76437,957,4313582,0.0,0.0
1538,22,Jaye Velasco,1387,76437,12207,4313582,0.0,0.0
621,22,Tran Benavides,323,76437,676,4313582,0.0,0.0
2228,22,Fe Jarrett,1200,76437,14605,4313582,0.0,0.0
840,22,Ulrike Law,249,76437,424,4313582,7.2253647e-317,1.831629954e-315
2316,22,Yajaira Patton,372,76437,1469,4313582,4.9777050894189024e-303,1.201760228731135e-301
1492,22,Tracy Pennington,559,76437,4144,4313582,4.841628031304168e-299,1.115775187214188e-297
1230,22,Maia Coffman,490,76437,3867,4313582,5.980260101579626e-250,1.318257335435161e-248
2274,22,Wes Kelley,331,76437,1665,4313582,3.42945337607405e-233,7.24472025695643e-232
1974,22,Pasty Rock,440,76437,3571,4313582,9.658479355902592e-220,1.9587396133770456e-218
763,22,Ashton Hardin,1916,76437,49527,4313582,1.3332670823370845e-209,2.599870810557315e-208
1073,22,Marianela Browning,202,76437,572,4313582,3.9702430191327626e-199,7.455234113704854e-198
681,22,Amalia Paris,146,76437,235,4313582,1.0187037380838035e-192,1.8445814114588872e-191
2200,22,Yee Hahn,552,76437,7613,4313582,2.700871031518542e-165,4.7218676309651754e-164
518,22,Rachal Marks,114,76437,181,4313582,2.445319436145296e-152,4.132589847085551e-151
341,22,Malcolm Crook,13734,76437,636055,4313582,1.0057478018940719e-134,1.6448843082590144e-133
821,22,Chantell Fleming,172,76437,894,4313582,4.16504292935529e-120,6.598989891197287e-119
878,22,Loni Lucas,98,76437,207,4313582,5.176826294940071e-114,7.953487671317019e-113
658,22,Dominick Shockley,340,76437,4506,4313582,1.8450224318322276e-107,2.7512540380557043e-106
63,22,Fritz Vann,433,76437,7128,4313582,1.4543817635593267e-104,2.1067758689273673e-103
407,22,Shellie Blount,308,76437,3859,4313582,1.0386781867562288e-103,1.4628051130150222e-102
324,22,Rolf Diggs,482,76437,8716,4313582,7.375599507549001e-102,1.0106564730614442e-100
107,22,Sage Vaughan,168,76437,1148,4313582,1.6539253635669524e-97,2.206684629811697e-96
1028,22,Charmain Chan,362,76437,5494,4313582,1.84794559439927e-97,2.402329272719051e-96
3,22,Donnette Sewell,415,76437,7010,4313582,6.873657695632886e-97,8.712361129214684e-96
1423,22,Marlene Compton,327,76437,4613,4313582,2.314093774554906e-96,2.861574496827652e-95
1412,22,Burma Nance,77,76437,154,4313582,8.75192251692118e-93,1.0564820752569138e-91
547,22,Aldo Fagan,237,76437,2785,4313582,6.870448159352078e-86,8.100737713468613e-85
1785,22,Genia Mosher,491,76437,10148,4313582,3.473405721621002e-84,4.0023106837769275e-83
81,22,Maryjo Campos,87,76437,283,4313582,1.7460782990346734e-81,1.967248216912399e-80
477,22,Randall Dubose,263,76437,3592,4313582,6.230710328615729e-81,6.867326383930813e-80
946,22,Keith Lancaster,263,76437,3663,4313582,3.776462945574742e-79,4.0737589646944555e-78
190,22,Kaila Parrott,304,76437,4767,4313582,6.065441122665532e-79,6.406622185815468e-78
1307,22,Rachell Dye,162,76437,1418,4313582,9.515693969948907e-78,9.8458302913553e-77
451,22,Heather Rodriguez,128,76437,839,4313582,3.1992789025969152e-77,3.244068807233272e-76
2299,22,Delia Shockley,723,76437,19187,4313582,2.5891682024029895e-75,2.5739378012123835e-74
500,22,Cecily Brantley,407,76437,8618,4313582,2.3127905378462365e-67,2.2549707744000807e-66
1118,22,Susy Cuevas,217,76437,3172,4313582,3.745964983352931e-62,3.583404238792332e-61
1446,22,Angella Rosenthal,191,76437,2795,4313582,6.233230158838151e-55,5.852310538020263e-54
1858,22,Willa Dodge,128,76437,1356,4313582,1.609953702131243e-52,1.4840845945100732e-51
835,22,Elfrieda Miranda,411,76437,10166,4313582,7.57606943464876e-51,6.859048577440931e-50
1740,22,Minda Bragg,53,76437,194,4313582,9.426817233610801e-48,8.384905855159081e-47
1436,22,Camilla Cloud,121,76437,1344,4313582,1.2359678172811478e-47,1.0804063506233481e-46
2052,22,Theron Guillory,140,76437,1817,4313582,9.07817118443614e-47,7.801072526286649e-46
381,22,Tanesha Paige,192,76437,3514,4313582,2.811372182114369e-41,2.375609493886642e-40
599,22,Dwain Mcmillian,288,76437,6913,4313582,1.6469001824307996e-38,1.3688170368728121e-37
1273,22,Barrett Huber,127,76437,1901,4313582,2.2814836043678393e-36,1.8656648184104751e-35
639,22,Danna Kenny,290,76437,7206,4313582,3.476293370051317e-36,2.797588473993679e-35
413,22,Kandis Mccain,36,76437,116,4313582,1.0793812672386458e-35,8.550723476406147e-35
479,22,Ramona Paul,110,76437,1502,4313582,2.644015388741869e-35,2.062332003218658e-34
1892,22,Molly Champion,591,76437,19388,4313582,4.96643408600546e-35,3.8151243660678306e-34
1722,22,Tod Mcdowell,287,76437,7266,4313582,1.7471980035165483e-34,1.3221334146013283e-33
768,22,Tressa Harrell,63,76437,570,4313582,5.0837750549024184e-31,3.7904028718169506e-30
1609,22,Wanda Montes,73,76437,785,4313582,1.2420894364908123e-30,9.126657163780316e-30
939,22,Clark Akins,65,76437,656,4313582,3.9258050493853233e-29,2.8434045143405124e-28
1997,22,Erin Chambers,49,76437,377,4313582,6.148477303971871e-28,4.390532384667238e-27
1606,22,Delorse Leblanc,163,76437,3520,4313582,1.989321938347008e-27,1.400814198252685e-26
1600,22,Twyla Diamond,161,76437,3474,4313582,3.727245338729132e-27,2.58864847498037e-26
179,22,Monte Ernst,109,76437,1887,4313582,2.4577380042443716e-26,1.6838826596647249e-25
1504,22,Ed Irvin,117,76437,2274,4313582,6.6184258268086e-24,4.4740558589226133e-23
1370,22,Freeman Burkhart,117,76437,2280,4313582,8.192657070225511e-24,5.465364650795177e-23
1368,22,Tessie Hankins,193,76437,4954,4313582,3.1273588670981244e-23,2.0591830462581157e-22
387,22,Carley Maynard,71,76437,997,4313582,6.150693875122715e-23,3.9979510188297643e-22
591,22,Mahalia Andrade,758,76437,29818,4313582,7.760359885129097e-22,4.9803828629879146e-21
396,22,Kenyatta Hoff,189,76437,4994,4313582,1.886598639479423e-21,1.1956318877700843e-20
936,22,Clemencia Pickering,59,76437,796,4313582,2.7354117841275017e-20,1.7121651537686955e-19
1292,22,Leeanne Duff,57,76437,764,4313582,8.177093473075488e-20,5.055837062011309e-19
920,22,Angelita Roe,186,76437,5129,4313582,2.945655245432424e-19,1.7993339872701675e-18
42,22,Georgianna Echols,109,76437,2368,4313582,7.024341071485869e-19,4.239691575289685e-18
2194,22,Brenda Harmon,41,76437,435,4313582,1.7340800241556459e-18,1.0343277320551911e-17
921,22,Arden Dorman,41,76437,438,4313582,2.228878690320975e-18,1.3140017395264353e-17
1061,22,Ocie Zapata,74,76437,1311,4313582,4.6584819010095734e-18,2.714770487140062e-17
2077,22,Vanda Augustine,201,76437,5907,4313582,9.34402197596065e-18,5.3834308429682375e-17
872,22,Alexander Ly,163,76437,4430,4313582,1.0971713118927752e-17,6.250178147524011e-17
73,22,Kayla Hensley,35,76437,341,4313582,2.6326911816488297e-17,1.4830826989955075e-16
2286,22,Lindsay Bentley,242,76437,7708,4313582,6.579446432655718e-17,3.6656915839081853e-16
1961,22,Yvonne Pelletier,69,76437,1250,4313582,1.688693729018111e-16,9.306170876219372e-16
1134,22,Kathrin Nicholas,112,76437,2730,4313582,7.791382707971413e-16,4.247560250474738e-15
1570,22,Thu Hillman,276,76437,9358,4313582,9.974443825238586e-16,5.379832999357407e-15
365,22,Annmarie Mckay,60,76437,1050,4313582,2.7122383528385594e-15,1.4474787840938416e-14
1633,22,Clint Middleton,85,76437,1879,4313582,8.985631925038054e-15,4.745536860410723e-14
347,22,Marlene Hood,27,76437,252,4313582,2.2881965196598822e-14,1.1837914647628166e-13
492,22,Mariko Hayes,714,76437,30122,4313582,2.2809765710151738e-14,1.1837914647628166e-13
402,22,Carmen Medina,18,76437,102,4313582,2.575839841477316e-14,1.3191422218474739e-13
1774,22,Terrence Wheatley,85,76437,1931,4313582,3.985101951271482e-14,2.0204466892946412e-13
376,22,January Maloney,63,76437,1220,4313582,6.030217416039866e-14,3.027049732606151e-13
454,22,Flor Mcdowell,71,76437,1484,4313582,7.949167766996862e-14,3.951203978301381e-13
1053,22,Jacelyn Jones,31,76437,351,4313582,8.941655795336116e-14,4.4013781439178744e-13
1200,22,Melania Yancey,136,76437,3905,4313582,2.31363966568264e-13,1.127899337020287e-12
750,22,Jimmie Trejo,56,76437,1043,4313582,2.61483667612058e-13,1.2625925664696513e-12
958,22,Suanne Wang,54,76437,1007,4313582,6.883535157126362e-13,3.292407853455722e-12
803,22,Hobert Copeland,31,76437,383,4313582,9.53076736916763e-13,4.515980426325223e-12
1226,22,Crysta Greene,188,76437,6140,4313582,1.1971182129712652e-12,5.619804944226217e-12
2206,22,Colin Kerns,44,76437,730,4313582,1.459399492518209e-12,6.788215988135156e-12
202,22,Chere Swenson,108,76437,2967,4313582,4.02184166615874e-12,1.8537033861295284e-11
636,22,Maragaret Cuellar,75,76437,1774,4313582,7.0507162559520556e-12,3.220462289880804e-11
506,22,Annalisa Hobbs,81,76437,2020,4313582,1.5585791400526182e-11,7.055353785773907e-11
2081,22,Vannessa Holman,402,76437,16086,4313582,1.6150020525867798e-11,7.246071156296437e-11
1626,22,Jarrod Mcmanus,63,76437,1395,4313582,1.8726979651533098e-11,8.328577792392351e-11
633,22,Mariah Solomon,69,76437,1619,4313582,3.0647481664549465e-11,1.3511541916457895e-10
2136,22,Maisie Castro,291,76437,11005,4313582,3.518764709226723e-11,1.5379428513603004e-10
1632,22,Felipe Palacios,16,76437,117,4313582,3.716074283907733e-11,1.6102988563600177e-10
1872,22,Dollie Hobson,99,76437,2739,4313582,4.1298298252135115e-11,1.7744268825281784e-10
1426,22,Alethia Milton,657,76437,28732,4313582,8.777849841583132e-11,3.739806613178696e-10
1848,22,Olevia Jaramillo,40,76437,711,4313582,1.0464131743669109e-10,4.4210956617001985e-10
2043,22,Kandy Ritchie,51,76437,1058,4313582,1.2555905868197086e-10,5.261028326591672e-10
121,22,Leota Diehl,28,76437,385,4313582,1.2750159609524712e-10,5.298631903302483e-10
1771,22,Vicente Corbett,38,76437,659,4313582,1.3916797800172057e-10,5.736436166412385e-10
219,22,Laurette Collier,40,76437,719,4313582,1.461092291762241e-10,5.973982192931098e-10
1622,22,Frieda Glenn,52,76437,1116,4313582,2.81940300693553e-10,1.143549859613051e-09
954,22,Shin Hayden,73,76437,1877,4313582,5.117289098907086e-10,2.059099661226899e-09
1782,22,Neely Bright,55,76437,1241,4313582,5.797337575129315e-10,2.3143701973154037e-09
1792,22,Kelvin Swanson,57,76437,1316,4313582,6.912573358841091e-10,2.7168020875445218e-09
1675,22,Kasha Crook,27,76437,388,4313582,6.902786542480884e-10,2.7168020875445218e-09
1548,22,Malvina Mccann,146,76437,4853,4313582,9.416706544630335e-10,3.6725155524058307e-09
1705,22,Chun Daniels,69,76437,1776,4313582,1.4763442870902728e-09,5.713790485150904e-09
431,22,Kecia Maxwell,32,76437,547,4313582,2.140031924016937e-09,8.219668071792327e-09
1903,22,Ahmad Bond,22,76437,284,4313582,2.496177141215309e-09,9.515502335309486e-09
311,22,Kirsten Peacock,46,76437,1018,4313582,6.506438756976292e-09,2.461764514766403e-08
1229,22,Marylyn Lund,34,76437,633,4313582,6.65233072040985e-09,2.4983197594428098e-08
369,22,Lanelle Mcdonald,191,76437,7038,4313582,9.766952453580497e-09,3.641062422033318e-08
19,22,Arlyne Landis,24,76437,367,4313582,1.714046348079842e-08,6.343222616616642e-08
1166,22,Vincent Griffith,23,76437,347,4313582,2.4527023078290106e-08,9.011015000502234e-08
1394,22,Cyrus Etheridge,32,76437,625,4313582,5.1805754452164883e-08,1.8896055760609782e-07
610,22,Ivana Barney,38,76437,822,4313582,5.8534684514192105e-08,2.1115058006654883e-07
1770,22,Polly Carroll,143,76437,5061,4313582,5.872235066939523e-08,2.1115058006654883e-07
65,22,Shaunte Easley,127,76437,4364,4313582,6.164972459053872e-08,2.201155659676277e-07
651,22,Clint Norton,21,76437,316,4313582,8.170971017928851e-08,2.89698063362932e-07
450,22,Verdell Bundy,114,76437,3850,4313582,1.1264604927166617e-07,3.966079651439913e-07
1658,22,Laila Crocker,23,76437,379,4313582,1.2706050041395767e-07,4.4427361179225196e-07
1530,22,Duncan Zepeda,138,76437,4937,4313582,1.741968622129302e-07,6.049165009722986e-07
1323,22,Reanna Ponder,15,76437,180,4313582,1.7742826338971302e-07,6.119464594461531e-07
292,22,Cira Villarreal,26,76437,477,4313582,2.0751089853221712e-07,7.108650375394194e-07
