,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1373,7,Percy Rowland,869,100425,3951,4313582,0.0,0.0
1887,7,Cliff Boggs,1298,100425,3334,4313582,0.0,0.0
1272,7,Milo Varner,344,100425,353,4313582,0.0,0.0
823,7,Vilma Rollins,103,100425,103,4313582,0.0,0.0
2171,7,Ernesto Woodward,24899,100425,25471,4313582,0.0,0.0
763,7,Ashton Hardin,2947,100425,49527,4313582,0.0,0.0
1319,7,Emerald Guillory,266,100425,266,4313582,0.0,0.0
1277,7,Keturah Richardson,688,100425,2667,4313582,0.0,0.0
563,7,Christy Yu,407,100425,492,4313582,0.0,0.0
2140,7,Adelia Robison,146,100425,146,4313582,0.0,0.0
2112,7,Roosevelt Sharpe,452,100425,458,4313582,0.0,0.0
1056,7,Janelle Mann,237,100425,240,4313582,0.0,0.0
884,7,Kristin Vernon,1653,100425,10096,4313582,0.0,0.0
656,7,Donnette Harris,2315,100425,2492,4313582,0.0,0.0
678,7,Kiera Flood,2391,100425,23624,4313582,0.0,0.0
2075,7,Hope Lipscomb,860,100425,890,4313582,0.0,0.0
591,7,Mahalia Andrade,1749,100425,29818,4313582,1.2654423866941009e-257,3.9749778499685284e-256
1898,7,Rhett Magee,123,100425,140,4313582,8.804539301790602e-183,2.6120133261978787e-181
2046,7,Verla Kauffman,106,100425,107,4313582,1.7597151218161216e-175,4.9457256581568895e-174
1686,7,Berneice Heck,127,100425,177,4313582,4.164671291040447e-166,1.1119672347077993e-164
630,7,Carl Parks,162,100425,402,4313582,6.646133106107569e-153,1.6900167041244963e-151
748,7,Rickie Ryan,96,100425,101,4313582,1.4132045193270619e-152,3.430232787821141e-151
387,7,Carley Maynard,227,100425,997,4313582,1.10686295188636e-149,2.5698470274231142e-148
599,7,Dwain Mcmillian,579,100425,6913,4313582,1.9326036264236214e-149,4.300043068792558e-148
1570,7,Thu Hillman,690,100425,9358,4313582,3.389376217429234e-149,7.239707600428844e-148
670,7,Della Donnelly,588,100425,7235,4313582,7.169797121768772e-146,1.4725660242402016e-144
1116,7,Keenan Mayes,131,100425,297,4313582,1.025799565040975e-130,2.028803584192151e-129
328,7,Reynalda Holman,453,100425,5542,4313582,8.783311781308924e-114,1.6751030325782018e-112
1788,7,Kristian Allen,80,100425,134,4313582,1.2131827298774517e-95,2.233929578463997e-94
2030,7,Kenda Sample,218,100425,1709,4313582,5.593869479689074e-91,9.957087673846552e-90
1892,7,Molly Champion,916,100425,19388,4313582,2.2915182969425189e-85,3.9473250663461453e-84
3,7,Donnette Sewell,446,100425,7010,4313582,2.2855499943356788e-77,3.814011553047664e-76
1698,7,Lashaun Longoria,279,100425,3369,4313582,3.1364728376387104e-72,5.075383319088095e-71
2225,7,Graig Cody,218,100425,2163,4313582,8.391922094659699e-72,1.3180254113377292e-70
769,7,Chery Agee,222,100425,2273,4313582,1.3947195915982953e-70,2.1279436054671136e-69
506,7,Annalisa Hobbs,201,100425,2020,4313582,1.7581375736143235e-65,2.6079040675279134e-64
1099,7,Twanda Story,279,100425,3635,4313582,2.65650990818273e-65,3.833989975593453e-64
1724,7,Jeannette Youngblood,224,100425,2493,4313582,1.160358113415726e-64,1.6306085067473624e-63
632,7,Joi Cho,108,100425,570,4313582,5.542615472951294e-64,7.589119647579465e-63
1453,7,Wilma Pruitt,227,100425,2590,4313582,1.4614603559479213e-63,1.9510495751904747e-62
1559,7,Cris Darnell,248,100425,3153,4313582,2.8094733174201375e-60,3.6591676865911062e-59
1791,7,Reena Hubbard,153,100425,1297,4313582,4.653243809017367e-60,5.9162671286077955e-59
1665,7,Codi Mcghee,257,100425,3384,4313582,1.794097227648561e-59,2.2280184175914686e-58
1785,7,Genia Mosher,518,100425,10148,4313582,9.324805576676228e-59,1.1316923131693423e-57
930,7,Mauricio Mcgee,264,100425,3621,4313582,1.2903461780718607e-57,1.531210797978608e-56
2200,7,Yee Hahn,421,100425,7613,4313582,8.559983178773795e-57,9.937023951011318e-56
453,7,Blake Huber,235,100425,3060,4313582,1.98245451598075e-55,2.2524057692206818e-54
1623,7,Lakeesha Newcomb,241,100425,3239,4313582,2.3833538793782136e-54,2.651481190808263e-53
324,7,Rolf Diggs,453,100425,8716,4313582,1.0703106761259302e-53,1.1664202062270341e-52
50,7,Tasha Sizemore,145,100425,1357,4313582,1.0725906258827783e-51,1.145526788442807e-50
1549,7,Hsiu Layne,313,100425,5112,4313582,1.5292630483378408e-51,1.6012283682596217e-50
1777,7,Janella Bernier,58,100425,173,4313582,3.314119100867218e-51,3.4033453843521046e-50
1226,7,Crysta Greene,348,100425,6140,4313582,1.2797632103883773e-49,1.2894218006554593e-48
1421,7,Concha Mckinley,236,100425,3424,4313582,1.1641072036660287e-47,1.1511726791808506e-46
302,7,Tawna Ransom,88,100425,553,4313582,3.903091333117966e-46,3.789546857972716e-45
1187,7,Argelia Sorensen,109,100425,870,4313582,4.723723382144013e-46,4.504407653687327e-45
500,7,Cecily Brantley,426,100425,8618,4313582,2.2788722876318573e-45,2.134943511570898e-44
