,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1549,56,Hsiu Layne,125,3482,5112,4313582,7.034663071393725e-138,4.150451212122298e-136
158,56,Catina Lovett,114,3482,5100,4313582,1.3905863045107436e-121,4.1022295983066935e-120
341,56,Malcolm Crook,1041,3482,636055,4313582,5.918471570191061e-115,1.1639660754709085e-113
1165,56,Augustine Aguirre,61,3482,4515,4313582,2.482391592456037e-53,3.661527598872654e-52
396,56,Kenyatta Hoff,58,3482,4994,4313582,3.483290475257331e-47,4.1102827608036505e-46
872,56,Alexander Ly,52,3482,4430,4313582,8.076309031656686e-43,7.941703881129074e-42
1309,56,Damaris Sewell,38,3482,2127,4313582,7.857759859023084e-39,6.622969024033742e-38
920,56,Angelita Roe,49,3482,5129,4313582,2.4534090909697545e-36,1.809389204590194e-35
454,56,Flor Mcdowell,32,3482,1484,4313582,8.681428631941202e-36,5.691158769828121e-35
866,56,Dung Sands,30,3482,1533,4313582,1.8080487545779165e-32,1.0667487652009707e-31
1426,56,Alethia Milton,97,3482,28732,4313582,3.0250052515482252e-31,1.6225028167395026e-30
378,56,Lonny Foster,16,3482,159,4313582,6.961772024432942e-31,3.422871245346196e-30
77,56,Alphonso Roach,24,3482,913,4313582,1.0404998962307134e-29,4.7222687598163146e-29
500,56,Cecily Brantley,52,3482,8618,4313582,7.43694130233159e-29,3.134139548839741e-28
324,56,Rolf Diggs,50,3482,8716,4313582,7.295276369808264e-27,2.869475372124584e-26
3,56,Donnette Sewell,45,3482,7010,4313582,2.1512271730788248e-26,7.932650200728167e-26
1572,56,Evelyne Ross,21,3482,957,4313582,1.0892601440893276e-24,3.780373441251196e-24
1190,56,Marisha Hammons,18,3482,593,4313582,3.1459995743296726e-24,1.0311887493636149e-23
1007,56,Verena Duncan,20,3482,1138,4313582,1.094489263881531e-21,3.398677187842649e-21
1857,56,Quintin Hare,12,3482,307,4313582,1.2955715787471621e-18,3.821936157304128e-18
2028,56,Florene Talbot,13,3482,451,4313582,4.717310023407709e-18,1.3253394827669277e-17
1785,56,Genia Mosher,41,3482,10148,4313582,4.5034111064008386e-17,1.2077329785347702e-16
540,56,Barbra Wilder,12,3482,436,4313582,1.2151006369053553e-16,3.116997285974607e-16
36,56,Bibi Daugherty,20,3482,2136,4313582,3.0785171367215097e-16,7.568021294440378e-16
2299,56,Delia Shockley,55,3482,19187,4313582,1.1977171722322127e-15,2.826612526468022e-15
993,56,Amy Cooke,13,3482,809,4313582,1.410636119044482e-14,3.201058885524017e-14
87,56,Akiko Hamilton,18,3482,2372,4313582,2.780648172486273e-13,6.076231191729263e-13
1841,56,Cleora Dobbins,17,3482,2068,4313582,2.9640354633309603e-13,6.245646154875952e-13
340,56,Yung Bean,31,3482,7972,4313582,4.958987118382646e-13,1.008897379257159e-12
2031,56,Kristal Dickinson,12,3482,860,4313582,6.62824916863305e-13,1.3035556698311665e-12
517,56,Paulita Mathis,15,3482,1705,4313582,1.992667390422493e-12,3.792496001126679e-12
2280,56,Jeremy Sykes,13,3482,1222,4313582,3.4641676321481693e-12,6.387059071773187e-12
2141,56,Eleonore Daugherty,17,3482,2499,4313582,6.539554930600771e-12,1.1691931542589259e-11
1197,56,Emogene Fitzgerald,18,3482,2866,4313582,7.042812889858066e-12,1.2221351779459584e-11
1069,56,Dawn Barlow,11,3482,1306,4313582,1.4071897574381273e-09,2.372119876824272e-09
369,56,Lanelle Mcdonald,24,3482,7038,4313582,1.8851472217374315e-09,3.089546835625235e-09
639,56,Danna Kenny,24,3482,7206,4313582,2.99315717941079e-09,4.772872259060449e-09
1,56,Yukiko Stamper,12,3482,2001,4313582,1.752279276550976e-08,2.7206441399080943e-08
858,56,Daniella Pickett,12,3482,2030,4313582,2.068944327800693e-08,3.1299414189805354e-08
1168,56,Tyisha Ross,12,3482,2076,4313582,2.6780852118475e-08,3.9501756874750625e-08
1373,56,Percy Rowland,15,3482,3951,4313582,2.656739487726385e-07,3.823112921362359e-07
2286,56,Lindsay Bentley,21,3482,7708,4313582,6.707451307089874e-07,9.4223720742453e-07
909,56,Dolly Bragg,35,3482,19572,4313582,8.415271892356506e-06,1.1546535852303113e-05
305,56,Minh Beverly,23,3482,11604,4313582,4.358024984300258e-05,5.843715319857164e-05
778,56,Nelson Peters,11,3482,3572,4313582,4.824300233957319e-05,6.325193640077374e-05
2138,56,Lucile Cardwell,14,3482,5403,4313582,5.102826400594848e-05,6.544929513806435e-05
1555,56,Kia Sampson,11,3482,3812,4313582,8.848263952247062e-05,0.00011107395174097376
941,56,Clifford Richard,11,3482,4600,4313582,0.0004772650407001625,0.0005866382791939498
1146,56,Lurlene Priest,13,3482,6184,4313582,0.0006756493541939249,0.0008135369774988075
111,56,Raleigh Meredith,17,3482,9592,4313582,0.0010993531491809829,0.00129723671603356
1096,56,Shayla Bowie,16,3482,12453,4313582,0.027948295091758057,0.03233234138066128
2136,56,Maisie Castro,14,3482,11005,4313582,0.037551994665133405,0.04260707087005521
591,56,Mahalia Andrade,32,3482,29818,4313582,0.04752483449834177,0.052905004441550274
1570,56,Thu Hillman,11,3482,9358,4313582,0.0821299797012754,0.0897346074513935
2059,56,Marilu Tucker,14,3482,17491,4313582,0.4422091606157616,0.47436982684236245
1605,56,Charisse Schmidt,15,3482,24974,4313582,0.8524050617952164,0.8980696186771029
492,56,Mariko Hayes,17,3482,30122,4313582,0.9229600300034446,0.9553445924597058
763,56,Ashton Hardin,24,3482,49527,4313582,0.9956654670546197,1.0
2087,56,Cyrus Ramey,17,3482,128650,4313582,1.0,1.0
