,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
341,2,Malcolm Crook,4257,14237,636055,4313582,0.0,0.0
533,2,Santiago Cisneros,285,14237,4504,4313582,1.330390705582073e-256,1.476733683196101e-254
1859,2,Mandy Yang,204,14237,5506,4313582,9.31326853970005e-139,6.891818719378037e-137
2134,2,Irving Langston,465,14237,35497,4313582,6.832135977962974e-133,3.791835467769451e-131
2311,2,Jannie Radford,96,14237,848,4313582,4.91182104861641e-113,2.1808485455856862e-111
2191,2,Arthur Quick,78,14237,1096,4313582,2.413338727005631e-76,8.929353289920833e-75
642,2,Ernie Wilson,61,14237,512,4313582,1.8445572388660665e-74,5.84988152897524e-73
807,2,Sanora Zamora,51,14237,536,4313582,1.3997374671176496e-57,3.8842714712514776e-56
2087,2,Cyrus Ramey,783,14237,128650,4313582,3.1459242789134226e-57,7.759946554653108e-56
1032,2,Myrle North,33,14237,251,4313582,2.597587993862164e-43,5.766645346374005e-42
840,2,Ulrike Law,38,14237,424,4313582,1.0950629851304784e-42,2.2100362063542383e-41
1485,2,Asuncion Padilla,35,14237,349,4313582,2.3601322906102707e-41,4.3662447376290006e-40
2081,2,Vannessa Holman,176,14237,16086,4313582,2.7453005931559813e-41,4.688128705235599e-40
619,2,Wilford Taylor,21,14237,125,4313582,3.0818105340145598e-31,4.88687098965166e-30
1200,2,Melania Yancey,67,14237,3905,4313582,2.385333600710937e-27,3.5302937290521864e-26
1765,2,Mireya Strong,23,14237,311,4313582,4.796882514323342e-25,6.655674488623637e-24
1671,2,Rene Grayson,28,14237,592,4313582,2.4861726357914698e-24,3.2466489714453316e-23
842,2,Doreen Dotson,34,14237,1065,4313582,2.497648040997467e-23,3.0804325838968757e-22
1352,2,Jennifer Rainey,38,14237,1432,4313582,6.39050215565544e-23,7.466797255555304e-22
1865,2,Bertha Shipman,48,14237,2512,4313582,3.4553929354777755e-22,3.835486158380331e-21
211,2,Fernando Mcdermott,14,14237,112,4313582,6.934120969781474e-20,7.330356453768986e-19
663,2,Slyvia Dupre,47,14237,2887,4313582,5.277637393479093e-19,5.325615915237994e-18
230,2,Sasha Dwyer,33,14237,1510,4313582,1.041180468923614e-17,1.0049654960914884e-16
2024,2,Rolanda Gallo,12,14237,109,4313582,9.556233635854833e-17,8.83951611316572e-16
763,2,Ashton Hardin,276,14237,49527,4313582,2.306996337946016e-16,2.0486127480960624e-15
202,2,Chere Swenson,43,14237,2967,4313582,8.432606358396024e-16,7.200148506015066e-15
970,2,Mack Richter,32,14237,1690,4313582,1.7535191702626979e-15,1.4417824288826625e-14
1396,2,Carin Bassett,38,14237,2429,4313582,2.9028478022914502e-15,2.3015436146739356e-14
599,2,Dwain Mcmillian,68,14237,6913,4313582,4.443186389629428e-15,3.401335787923217e-14
259,2,Renate Duckworth,22,14237,780,4313582,7.0061075793618275e-15,5.184519608727752e-14
1605,2,Charisse Schmidt,160,14237,24974,4313582,9.24996266572351e-15,6.624166812227804e-14
1226,2,Crysta Greene,60,14237,6140,4313582,1.9594450864186357e-13,1.3593650287029286e-12
2294,2,Dominga Seaman,17,14237,552,4313582,1.0790840154870847e-12,7.259292467822205e-12
911,2,Madelene Okeefe,15,14237,421,4313582,1.9534616123304794e-12,1.2754955233451955e-11
1247,2,Lillie Glass,20,14237,874,4313582,4.7663765093043575e-12,3.023244528758764e-11
1705,2,Chun Daniels,28,14237,1776,4313582,6.344121038691632e-12,3.912207973859839e-11
583,2,Ima Mejia,18,14237,704,4313582,6.75769198147081e-12,4.0546151888824864e-11
1146,2,Lurlene Priest,57,14237,6184,4313582,7.044874056979722e-12,4.115689580656574e-11
126,2,Deb Albert,12,14237,267,4313582,1.0544836133355073e-11,6.002445183602118e-11
340,2,Yung Bean,65,14237,7972,4313582,5.179819876332911e-11,2.7719778752669116e-10
591,2,Mahalia Andrade,168,14237,29818,4313582,5.164580243093647e-11,2.7719778752669116e-10
1168,2,Tyisha Ross,29,14237,2076,4313582,5.244282466721184e-11,2.7719778752669116e-10
2254,2,Marcellus Renteria,11,14237,247,4313582,6.677600326143735e-11,3.447505284660254e-10
678,2,Kiera Flood,139,14237,23624,4313582,1.3470873424497626e-10,6.796667955087439e-10
437,2,Randolph Walton,19,14237,946,4313582,1.41186885737549e-10,6.965219696385751e-10
193,2,Kylie Carrasco,30,14237,2560,4313582,1.6934937716948963e-09,8.172948202527543e-09
1368,2,Tessie Hankins,44,14237,4954,4313582,3.719452516487043e-09,1.7568477843832415e-08
1211,2,Liza Hill,14,14237,617,4313582,4.290795686641358e-09,1.9844930050716277e-08
2299,2,Delia Shockley,113,14237,19187,4313582,5.576203745381975e-09,2.526361696887344e-08
243,2,Syreeta Seals,15,14237,765,4313582,1.0875926235065072e-08,4.828911248368892e-08
1629,2,Rivka Tipton,14,14237,668,4313582,1.2236027236163448e-08,5.326270679271148e-08
87,2,Akiko Hamilton,27,14237,2372,4313582,1.7053793928218496e-08,7.280658177047128e-08
1750,2,Carrol Frazier,12,14237,531,4313582,4.167611815847512e-08,1.7456789115436747e-07
1799,2,Nydia Pyle,11,14237,444,4313582,4.725581599883866e-08,1.942739102174478e-07
500,2,Cecily Brantley,60,14237,8618,4313582,7.144063350860696e-08,2.883603752529226e-07
2200,2,Yee Hahn,54,14237,7613,4313582,1.6084531017160117e-07,6.376367653231332e-07
594,2,Rolando Hudson,14,14237,833,4313582,2.088066142886926e-07,8.132468135454344e-07
2071,2,Morris Stovall,87,14237,14807,4313582,2.7339045812492773e-07,1.0464255466161027e-06
1615,2,Lovie Pope,13,14237,744,4313582,3.1163025252705493e-07,1.1725748484916305e-06
757,2,Wanetta Kilgore,13,14237,752,4313582,3.537148768426162e-07,1.30874504431768e-06
1350,2,Hong Reid,11,14237,544,4313582,4.111112021000933e-07,1.4961751945282082e-06
3,2,Donnette Sewell,49,14237,7010,4313582,8.087314062942314e-07,2.8957801967309577e-06
2213,2,Noella Dent,12,14237,696,4313582,8.819790249359652e-07,3.1079260878695918e-06
210,2,Tresa Winter,17,14237,1359,4313582,1.15515170585455e-06,4.00693247968297e-06
467,2,Antony Baron,17,14237,1371,4313582,1.3053421562553949e-06,4.458245518287656e-06
1961,2,Yvonne Pelletier,16,14237,1250,4313582,1.5921264125342178e-06,5.298867186534488e-06
872,2,Alexander Ly,35,14237,4430,4313582,1.5992076644045528e-06,5.298867186534488e-06
786,2,Lettie Velasquez,24,14237,2501,4313582,1.8909994965546086e-06,6.1735571799282815e-06
1905,2,Frederica Burrell,32,14237,4068,4313582,4.370090067070251e-06,1.4060289781008633e-05
2052,2,Theron Guillory,19,14237,1817,4313582,4.851691215718256e-06,1.5386792141277897e-05
2141,2,Eleonore Daugherty,23,14237,2499,4313582,5.7964429410384315e-06,1.812408919592298e-05
23,2,Korey Battle,22,14237,2338,4313582,6.13010764157072e-06,1.8901165228176384e-05
510,2,Pierre Dwyer,16,14237,1388,4313582,6.2491703184049075e-06,1.9004326173779307e-05
1202,2,Monet Reagan,11,14237,721,4313582,7.306228891013963e-06,2.191868667304189e-05
1273,2,Barrett Huber,19,14237,1901,4313582,9.283051097148091e-06,2.747783124755835e-05
547,2,Aldo Fagan,24,14237,2785,4313582,1.1612574424984243e-05,3.39209410835066e-05
1083,2,Edward Carmona,27,14237,3347,4313582,1.2872890377242726e-05,3.711404758114136e-05
1263,2,Deandre Willoughby,18,14237,1797,4313582,1.4311992683320289e-05,4.0734133021757746e-05
1916,2,Ahmed Blanchard,19,14237,2002,4313582,1.9235301991852418e-05,5.40536334454587e-05
1785,2,Genia Mosher,59,14237,10148,4313582,2.1984918191997134e-05,6.100814798279205e-05
1305,2,Piper Adcock,24,14237,2920,4313582,2.5028395256146296e-05,6.859634255388244e-05
1028,2,Charmain Chan,37,14237,5494,4313582,2.9585316404654385e-05,8.009683221747894e-05
91,2,Breana Crowell,12,14237,988,4313582,3.588314492552961e-05,9.597660449960931e-05
1426,2,Alethia Milton,135,14237,28732,4313582,3.7580077863319324e-05,9.931877721020106e-05
558,2,Lael Terry,13,14237,1173,4313582,5.199159626569044e-05,0.00013578981612921503
1291,2,Jessi Sorenson,27,14237,3656,4313582,5.8658075918908136e-05,0.00014967922820686904
821,2,Chantell Fleming,11,14237,894,4313582,5.848818582705411e-05,0.00014967922820686904
639,2,Danna Kenny,44,14237,7206,4313582,6.483722511435221e-05,0.00016356663608393398
112,2,Coralee Mcrae,14,14237,1371,4313582,7.50601598336234e-05,0.00018722871329285838
920,2,Angelita Roe,34,14237,5129,4313582,7.664038536757384e-05,0.00018904628390668213
657,2,Jackson Koenig,16,14237,1720,4313582,8.836361325942589e-05,0.0002155683752043137
477,2,Randall Dubose,26,14237,3592,4313582,0.0001059250815231559,0.0002556018271537023
324,2,Rolf Diggs,50,14237,8716,4313582,0.0001093022969502674,0.00026091516046192865
