,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
341,58,Malcolm Crook,6429,15118,636055,4313582,0.0,0.0
525,58,Leif Ruth,431,15118,845,4313582,0.0,0.0
1841,58,Cleora Dobbins,184,15118,2068,4313582,3.3660918376737244e-189,1.6045037759578086e-187
909,58,Dolly Bragg,344,15118,19572,4313582,3.0176429027557274e-126,1.0788073377351725e-124
158,58,Catina Lovett,188,15118,5100,4313582,3.656583264768692e-123,1.045782813723846e-121
2130,58,Sina Donaldson,332,15118,20065,4313582,7.54345580052209e-115,1.797856965791098e-113
1007,58,Verena Duncan,93,15118,1138,4313582,1.077410628851359e-93,2.2009959989392047e-92
1146,58,Lurlene Priest,170,15118,6184,4313582,7.703420883727939e-92,1.376986482966369e-90
1549,58,Hsiu Layne,151,15118,5112,4313582,4.190704266034773e-86,6.658563444921916e-85
340,58,Yung Bean,168,15118,7972,4313582,7.845592397380988e-74,1.1219197128254811e-72
1309,58,Damaris Sewell,89,15118,2127,4313582,2.233667539313433e-64,2.903767801107463e-63
77,58,Alphonso Roach,50,15118,913,4313582,4.287675293225442e-43,5.1094797244269845e-42
36,58,Bibi Daugherty,63,15118,2136,4313582,1.9136666601886847e-37,2.105033326207553e-36
1572,58,Evelyne Ross,45,15118,957,4313582,3.750842837192295e-36,3.8312180408464156e-35
2299,58,Delia Shockley,181,15118,19187,4313582,2.9381124480048195e-31,2.8010005337645944e-30
699,58,Kathyrn Prater,31,15118,514,4313582,4.0449529930604364e-29,3.615176737547765e-28
1069,58,Dawn Barlow,42,15118,1306,4313582,2.6335554481489344e-27,2.2152848769723388e-26
1357,58,Julie Laws,96,15118,7842,4313582,4.0853689773700988e-25,3.245598687577356e-24
1,58,Yukiko Stamper,47,15118,2001,4313582,2.1203912493893476e-24,1.595873414014088e-23
369,58,Lanelle Mcdonald,88,15118,7038,4313582,8.30128026066441e-24,5.935415386375053e-23
282,58,Tisa Roman,24,15118,380,4313582,1.1019299221600358e-23,7.503618041375481e-23
1133,58,Alica Monroe,72,15118,5157,4313582,1.6474394160395278e-22,1.070835620425693e-21
1190,58,Marisha Hammons,27,15118,593,4313582,1.9519028796263243e-22,1.213574399072019e-21
7,58,Sharron Camp,88,15118,7487,4313582,4.49634048799817e-22,2.679069540765576e-21
2155,58,Hellen Boucher,16,15118,130,4313582,1.0090547909448483e-21,5.771793404204533e-21
1705,58,Chun Daniels,40,15118,1776,4313582,1.7257027150080833e-20,9.491364932544457e-20
1426,58,Alethia Milton,202,15118,28732,4313582,1.348563403533871e-19,7.142391359457169e-19
1740,58,Minda Bragg,16,15118,194,4313582,1.069060438430047e-18,5.459844381982026e-18
678,58,Kiera Flood,170,15118,23624,4313582,1.0627975268475288e-17,5.240691253075746e-17
2040,58,Kristine Serrano,24,15118,678,4313582,1.1200338223759231e-17,5.338827886658567e-17
1570,58,Thu Hillman,91,15118,9358,4313582,1.4956959021911356e-17,6.899500452042981e-17
976,58,Justin Conn,21,15118,507,4313582,3.383146483779034e-17,1.5118435849387558e-16
993,58,Amy Cooke,25,15118,809,4313582,6.775763610779364e-17,2.9361642313377246e-16
12,58,Sherrell Coffman,17,15118,304,4313582,1.1216713678208636e-16,4.717617811717162e-16
1096,58,Shayla Bowie,106,15118,12453,4313582,3.346402744323983e-16,1.3672445498237987e-15
866,58,Dung Sands,32,15118,1533,4313582,6.056081255064802e-16,2.405610054095185e-15
946,58,Keith Lancaster,48,15118,3663,4313582,9.758831217622908e-15,3.771656389513718e-14
11,58,Dominga Darling,19,15118,525,4313582,1.0344583306251229e-14,3.892830033668226e-14
1809,58,Leanora Nesbitt,12,15118,156,4313582,2.3411050702038478e-14,8.369450625978755e-14
629,58,Leroy Moser,12,15118,156,4313582,2.3411050702038478e-14,8.369450625978755e-14
1083,58,Edward Carmona,45,15118,3347,4313582,2.4281033051236092e-14,8.46875055201649e-14
190,58,Kaila Parrott,55,15118,4767,4313582,2.7075253899984266e-14,9.218479304042263e-14
719,58,Nia Maxwell,30,15118,1766,4313582,8.873846360773289e-13,2.9510698362571637e-12
389,58,Tomi Slade,38,15118,2827,4313582,1.8942292985138647e-12,6.15624522017006e-12
639,58,Danna Kenny,66,15118,7206,4313582,3.545788687019293e-12,1.1267728494305753e-11
114,58,Kena Jernigan,22,15118,1033,4313582,7.171476593818543e-12,2.2293938106870688e-11
1613,58,Donette Nixon,30,15118,1929,4313582,8.088487698119254e-12,2.460965406023518e-11
2200,58,Yee Hahn,67,15118,7613,4313582,1.3719738344231347e-11,4.0873387150522554e-11
49,58,Naoma Douglas,13,15118,318,4313582,1.4417270498059468e-11,4.207489145352049e-11
1555,58,Kia Sampson,42,15118,3812,4313582,8.319073414143547e-11,2.3792549964450547e-10
954,58,Shin Hayden,28,15118,1877,4313582,9.220575587528982e-11,2.5853770765032244e-10
2286,58,Lindsay Bentley,65,15118,7708,4313582,1.4939117623060536e-10,4.1082573463416474e-10
517,58,Paulita Mathis,26,15118,1705,4313582,2.3576123301575423e-10,6.361104966274123e-10
1132,58,Ladonna Gifford,33,15118,2650,4313582,3.0185093851404876e-10,7.993460038427588e-10
137,58,Leota Odonnell,31,15118,2390,4313582,3.532822735721124e-10,9.185339112874922e-10
932,58,Blondell Carney,22,15118,1270,4313582,3.941925724063963e-10,1.0065988902520476e-09
884,58,Kristin Vernon,76,15118,10096,4313582,8.431184937882492e-10,2.1151920107319234e-09
477,58,Randall Dubose,38,15118,3592,4313582,1.7117640752160781e-09,4.220383840618951e-09
668,58,Creola Roberts,20,15118,1175,4313582,2.7943869075500585e-09,6.772836064062006e-09
268,58,Dinah Randle,18,15118,961,4313582,3.129860390475132e-09,7.459500597299065e-09
2305,58,Alessandra Suggs,20,15118,1239,4313582,6.94887868086361e-09,1.6095155715396886e-08
210,58,Tresa Winter,21,15118,1359,4313582,6.978319261221027e-09,1.6095155715396886e-08
2087,58,Cyrus Ramey,571,15118,128650,4313582,1.3504295768269856e-08,3.065260785496174e-08
454,58,Flor Mcdowell,21,15118,1484,4313582,3.240668295550171e-08,7.240868222869913e-08
276,58,Antionette Larsen,14,15118,736,4313582,9.263301192742365e-08,2.0379262624033202e-07
1867,58,Dirk Grady,38,15118,4193,4313582,9.668291552691344e-08,2.0947965030831244e-07
