,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
63,30,Fritz Vann,455,14317,7128,4313582,0.0,0.0
341,30,Malcolm Crook,3753,14317,636055,4313582,6.4542145308128546e-279,6.647840966737241e-277
250,30,Alfredia Graves,183,14317,1547,4313582,1.0374811495951888e-215,7.124037227220297e-214
441,30,Maira Gay,254,14317,6558,4313582,3.494826564151085e-176,1.799835680537809e-174
244,30,Latarsha Carnes,207,14317,4302,4313582,1.3481426149736083e-162,5.5543475736912664e-161
235,30,Merrie Caldwell,78,14317,240,4313582,4.130028087070137e-132,1.4179763098940804e-130
1891,30,Katrice Prince,111,14317,4009,4313582,1.5750613503497843e-63,4.635180545315079e-62
1320,30,Rocio Escobedo,209,14317,20109,4313582,5.5383788177895344e-45,1.4261325455808053e-43
1696,30,Stella Washburn,64,14317,1946,4313582,3.55111190320621e-42,8.128100578449769e-41
918,30,Ahmad Hess,61,14317,2258,4313582,1.6107118912853419e-35,3.3180664960478045e-34
651,30,Clint Norton,29,14317,316,4313582,1.473211646542229e-33,2.7589236289790836e-32
1716,30,Amee Lee,82,14317,4825,4313582,1.7621920801872062e-32,3.0250964043213707e-31
1768,30,Araceli Anders,57,14317,2552,4313582,3.901754633993837e-29,6.182780420021003e-28
1538,30,Jaye Velasco,128,14317,12207,4313582,9.868250138912953e-29,1.4520425204400489e-27
1688,30,Marjory Robinson,57,14317,2846,4313582,8.966764380725068e-27,1.2314356416195762e-25
7,30,Sharron Camp,91,14317,7487,4313582,2.6219562626862894e-25,3.375768688208598e-24
1950,30,Darlena Cardwell,62,14317,3644,4313582,3.563392415732689e-25,4.317993162593729e-24
613,30,Malia Stover,63,14317,3945,4313582,4.156562927608064e-24,4.7569553504847843e-23
2059,30,Marilu Tucker,147,14317,17491,4313582,2.606556883187704e-23,2.826056410192984e-22
17,30,Gisela Barnard,63,14317,4253,4313582,1.9492226375449285e-22,2.0076993166712765e-21
828,30,Gema Curry,56,14317,3444,4313582,4.7026940990650005e-22,4.613118973368524e-21
124,30,Lindsey Stanford,55,14317,3383,4313582,1.0635642472300486e-21,9.958828860426819e-21
702,30,Liana Barrett,61,14317,4347,4313582,1.1830592572448608e-20,1.0596095956193101e-19
414,30,Magdalen Tuttle,50,14317,3067,4313582,5.433896127265432e-20,4.664094175902829e-19
598,30,Judie Friedman,51,14317,3372,4313582,5.586522202158912e-19,4.6032942945789436e-18
