,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
227,10,Irvin Solomon,344,28069,540,4313582,0.0,0.0
2304,10,Tanya Mcbride,174,28069,193,4313582,0.0,0.0
2202,10,Marica Richardson,1596,28069,1829,4313582,0.0,0.0
305,10,Minh Beverly,722,28069,11604,4313582,0.0,0.0
725,10,Christine Alley,261,28069,389,4313582,0.0,0.0
747,10,Garret Jacobsen,1032,28069,35618,4313582,0.0,0.0
620,10,Rea Ledford,186,28069,190,4313582,0.0,0.0
596,10,Yevette Tatum,922,28069,4220,4313582,0.0,0.0
1170,10,Loren Krueger,939,28069,7975,4313582,0.0,0.0
1351,10,Wen Ivy,2576,28069,2775,4313582,0.0,0.0
271,10,Chadwick Vaughan,107,28069,131,4313582,1.2192041449933548e-211,3.2031817991189046e-210
625,10,Luetta Stern,360,28069,7546,4313582,2.885845166718519e-183,6.9500771098471e-182
670,10,Della Donnelly,297,28069,7235,4313582,1.5435645842246568e-134,3.43146280646866e-133
963,10,Tatyana Alvarado,137,28069,1224,4313582,7.031903238076187e-120,1.4515857398600128e-118
763,10,Ashton Hardin,812,28069,49527,4313582,6.283010444795933e-119,1.2105266790306832e-117
1434,10,Alva Mcnamara,330,28069,10718,4313582,1.2866052385168058e-114,2.3239307120709804e-113
1906,10,Leanora Dill,416,28069,17499,4313582,1.3446419800368585e-107,2.285891366062659e-106
678,10,Kiera Flood,436,28069,23624,4313582,6.848115488532259e-79,1.0995029867699017e-77
544,10,Sharie Brenner,167,28069,4222,4313582,1.9873439919365926e-74,3.0228548087877645e-73
2053,10,Blanca Medley,78,28069,723,4313582,2.5796298024007934e-68,3.727565064469146e-67
386,10,Dayna Arellano,106,28069,1696,4313582,2.9960401329849986e-67,4.1231218972984025e-66
599,10,Dwain Mcmillian,181,28069,6913,4313582,7.602582914825057e-54,9.987029374474734e-53
515,10,Son Crowell,50,28069,327,4313582,9.1360410660266e-53,1.1479634209050814e-51
1082,10,Evon Johnson,55,28069,450,4313582,4.05363025527262e-52,4.8812464323907797e-51
1595,10,Vertie Buchanan,69,28069,1020,4313582,5.294599183753237e-47,6.1205566564187425e-46
1947,10,Britta Tilley,63,28069,923,4313582,2.1540003798795376e-43,2.394254268404563e-42
1885,10,Kiara Lofton,81,28069,2035,4313582,1.269424388636658e-37,1.3587542530222005e-36
387,10,Carley Maynard,59,28069,997,4313582,2.4290109773432824e-37,2.5070863301864594e-36
1755,10,Charline Fenton,31,28069,163,4313582,4.121757217623447e-37,4.107544261700608e-36
1670,10,Douglas Burch,27,28069,111,4313582,5.1071823360282226e-36,4.919918983707188e-35
2313,10,Camelia Pressley,123,28069,4867,4313582,6.707360303758751e-36,6.252990734794448e-35
1667,10,Assunta Stevenson,125,28069,5216,4313582,2.952053107226568e-34,2.6660729624639943e-33
2071,10,Morris Stovall,227,28069,14807,4313582,1.415953485410471e-30,1.240031991768564e-29
524,10,Maryanna Croft,70,28069,1931,4313582,2.1189095435273427e-30,1.8010731119982413e-29
1227,10,Gillian Dietz,56,28069,1244,4313582,1.874741433174525e-29,1.5480007833926793e-28
1101,10,Consuelo Hutton,41,28069,620,4313582,1.1702106198386055e-28,9.394190809259917e-28
429,10,Jenny Rowe,23,28069,123,4313582,3.71329894746139e-28,2.9003875562603834e-27
580,10,Samual David,55,28069,1304,4313582,1.3946448096563454e-27,1.0606640789228523e-26
1542,10,Lala Regan,44,28069,807,4313582,4.660017216304163e-27,3.4531922449023154e-26
591,10,Mahalia Andrade,355,28069,29818,4313582,5.920781729126375e-26,4.277764799293805e-25
338,10,Lenna Muniz,22,28069,135,4313582,1.3246091292516727e-25,9.3368789842374e-25
1774,10,Terrence Wheatley,63,28069,1931,4313582,3.643471654232693e-25,2.5070554954124956e-24
153,10,Tona Pool,29,28069,319,4313582,4.812832503437247e-25,3.234671147658987e-24
506,10,Annalisa Hobbs,64,28069,2020,4313582,7.576913232537568e-25,4.976654373189448e-24
156,10,Paz Parson,31,28069,398,4313582,1.725319622616097e-24,1.1080386020801155e-23
1,10,Yukiko Stamper,62,28069,2001,4313582,1.1972504479309022e-23,7.521856075044147e-23
2003,10,Jaimee Short,20,28069,122,4313582,1.3088388733282216e-23,8.047966689188426e-23
2072,10,Cleopatra Reeves,26,28069,295,4313582,2.1890105549767613e-22,1.3179667716422584e-21
137,10,Leota Odonnell,65,28069,2390,4313582,1.0749182943593022e-21,6.339824225915068e-21
889,10,Youlanda Herbert,40,28069,977,4313582,2.791593208760268e-20,1.6135408746634352e-19
1526,10,Elaine Delaney,35,28069,731,4313582,3.242522812529852e-20,1.8374295937669163e-19
263,10,Gwenda Armstrong,49,28069,1533,4313582,9.705634965714615e-20,5.394093279022161e-19
1200,10,Melania Yancey,81,28069,3905,4313582,2.8377993331503175e-19,1.5474037873215882e-18
879,10,Julissa Denson,17,28069,136,4313582,2.562348887308803e-18,1.3713311637634148e-17
