,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
341,53,Malcolm Crook,6899,20331,636055,4313582,0.0,0.0
2096,53,Gil Boyle,735,20331,945,4313582,0.0,0.0
2087,53,Cyrus Ramey,1622,20331,128650,4313582,2.2894526476637455e-268,1.6713004327945343e-266
1570,53,Thu Hillman,388,20331,9358,4313582,1.9078549780799535e-224,1.0445506004987746e-222
658,53,Dominick Shockley,205,20331,4506,4313582,2.669003834458882e-127,1.1690236794929904e-125
1841,53,Cleora Dobbins,139,20331,2068,4313582,1.2999322495237587e-109,4.744752710761719e-108
158,53,Catina Lovett,192,20331,5100,4313582,5.747011308279079e-105,1.7979935378758832e-103
390,53,Garnett Spicer,78,20331,373,4313582,7.54163709718187e-103,2.064523155353537e-101
1309,53,Damaris Sewell,123,20331,2127,4313582,1.4284420409281994e-89,3.475875632925285e-88
1549,53,Hsiu Layne,152,20331,5112,4313582,7.103014962048673e-70,1.5555602766886595e-68
62,53,Justine Salas,154,20331,5492,4313582,2.176920354139538e-67,4.3340505232414443e-66
2130,53,Sina Donaldson,289,20331,20065,4313582,2.890280745299409e-59,5.274762360171422e-58
137,53,Leota Odonnell,93,20331,2390,4313582,1.9468828301183353e-53,3.279748767660888e-52
36,53,Bibi Daugherty,83,20331,2136,4313582,6.182738233187885e-48,9.671569093343907e-47
1,53,Yukiko Stamper,70,20331,2001,4313582,5.992099338881824e-38,8.748465034767463e-37
1582,53,Apryl Drew,35,20331,309,4313582,6.743644275023455e-38,9.230363101438354e-37
1190,53,Marisha Hammons,40,20331,593,4313582,1.1021633633470795e-33,1.41984574454712e-32
1007,53,Verena Duncan,51,20331,1138,4313582,2.0167693883289028e-33,2.4537360891334985e-32
1146,53,Lurlene Priest,113,20331,6184,4313582,4.966242061152433e-33,5.724247428380963e-32
1572,53,Evelyne Ross,47,20331,957,4313582,8.781412838545939e-33,9.615647058207804e-32
1897,53,Soraya Downey,52,20331,1233,4313582,9.693217693746285e-33,1.0108641309192555e-31
866,53,Dung Sands,56,20331,1533,4313582,7.774685455090529e-32,7.7393459757492095e-31
2305,53,Alessandra Suggs,51,20331,1239,4313582,1.1615237152035479e-31,1.105972580998161e-30
305,53,Minh Beverly,159,20331,11604,4313582,3.1250172226880093e-31,2.8515782157028086e-30
932,53,Blondell Carney,50,20331,1270,4313582,3.383054872351777e-30,2.9568274887505993e-29
976,53,Justin Conn,35,20331,507,4313582,3.510388799429935e-30,2.9568274887505993e-29
105,53,Petra Latham,31,20331,362,4313582,5.3218038041648744e-30,4.162410832543241e-29
2280,53,Jeremy Sykes,49,20331,1222,4313582,5.245355233179231e-30,4.162410832543241e-29
909,53,Dolly Bragg,217,20331,19572,4313582,3.2483723993116207e-29,2.4530812256870515e-28
276,53,Antionette Larsen,38,20331,736,4313582,8.074082166118816e-28,5.894079981266736e-27
1069,53,Dawn Barlow,48,20331,1306,4313582,8.918887237568252e-28,6.3007622742820875e-27
273,53,Savanna Billings,33,20331,516,4313582,1.5848161627829962e-27,1.084608561404613e-26
2233,53,Lera Ortega,42,20331,983,4313582,3.5374935432050516e-27,2.3476093513997163e-26
719,53,Nia Maxwell,53,20331,1766,4313582,3.253455842634446e-26,2.0956083221674816e-25
282,53,Tisa Roman,28,20331,380,4313582,1.6378514435084256e-25,1.0248270460809865e-24
114,53,Kena Jernigan,41,20331,1033,4313582,2.2873942938271286e-25,1.3914981954115032e-24
993,53,Amy Cooke,37,20331,809,4313582,2.7212813194515456e-25,1.6107043485402393e-24
1617,53,Hattie Burkett,20,20331,155,4313582,3.5132310098612175e-24,2.0247305030515966e-23
2284,53,Roni Murray,27,20331,442,4313582,1.7188141588036037e-22,9.651802584051005e-22
2168,53,Creola Braxton,18,20331,139,4313582,4.25058792764618e-22,2.3271968903862837e-21
123,53,Bruce Ransom,18,20331,154,4313582,3.175362882732196e-21,1.6961084666301242e-20
1241,53,Shaquita Finley,23,20331,346,4313582,2.049750389592342e-20,1.0687984174302926e-19
1135,53,Luanna Flood,74,20331,4537,4313582,1.1221879632764834e-19,5.715329394361625e-19
1685,53,German Simon,15,20331,108,4313582,1.9949047959280545e-19,9.929185234278272e-19
946,53,Keith Lancaster,65,20331,3663,4313582,2.409426215238248e-19,1.1725874247492807e-18
388,53,Frank Hawk,67,20331,4013,4313582,1.569542911227842e-18,7.472389077367336e-18
2219,53,Tamara Carmichael,31,20331,908,4313582,6.273787822404935e-18,2.923318155546129e-17
1021,53,Albina Gale,15,20331,145,4313582,2.5719451105881345e-17,1.1734499567058365e-16
907,53,Wenona Ames,33,20331,1111,4313582,4.028404790767069e-17,1.800450304444874e-16
655,53,Oneida Brewer,25,20331,615,4313582,1.0276928760882282e-16,4.50129479726644e-16
2040,53,Kristine Serrano,26,20331,678,4313582,1.1665759698385849e-16,5.009414458718629e-16
668,53,Creola Roberts,33,20331,1175,4313582,2.0776182526927315e-16,8.749969179609774e-16
1410,53,Thuy Gant,14,20331,143,4313582,5.434373835007496e-16,2.2455242827672486e-15
699,53,Kathyrn Prater,22,20331,514,4313582,1.7432274394529238e-15,7.069755726670191e-15
65,53,Shaunte Easley,64,20331,4364,4313582,3.55931248675066e-15,1.4172535174516266e-14
1542,53,Lala Regan,26,20331,807,4313582,7.805522750972642e-15,3.0525169329696586e-14
1911,53,Garland Kessler,12,20331,113,4313582,1.3983278802551472e-14,5.3725229083487235e-14
889,53,Youlanda Herbert,28,20331,977,4313582,1.671671878070075e-14,6.312002436161145e-14
362,53,Bibi Galindo,55,20331,3572,4313582,3.527064081274336e-14,1.3091983623713216e-13
95,53,Ricki Hawk,21,20331,557,4313582,8.659270977890197e-14,3.160633906929922e-13
1409,53,Carolee Beasley,30,20331,1214,4313582,1.1220940999791351e-13,4.0285017687775507e-13
554,53,Otelia Landers,20,20331,535,4313582,3.5208544205569324e-13,1.2436566420999488e-12
1207,53,Rex Holbrook,17,20331,371,4313582,4.93182264120047e-13,1.7143954895601635e-12
1794,53,Kandis Funk,50,20331,3332,4313582,1.1150335975557897e-12,3.7580542855144274e-12
828,53,Gema Curry,51,20331,3444,4313582,1.1154042399928666e-12,3.7580542855144274e-12
1238,53,Nery Brinkley,29,20331,1257,4313582,1.4804923062066092e-12,4.839221120287275e-12
1982,53,Colin Hunt,33,20331,1610,4313582,1.461582981946588e-12,4.839221120287275e-12
613,53,Malia Stover,55,20331,3945,4313582,1.7219164750363305e-12,5.545583941661123e-12
1571,53,Lorrie Shipley,50,20331,3374,4313582,1.7503145362072494e-12,5.5553461366577915e-12
17,53,Gisela Barnard,57,20331,4253,4313582,3.389960434102575e-12,1.0605733358120914e-11
782,53,Hana Crouch,51,20331,3573,4313582,4.23459965890856e-12,1.3061652469027814e-11
540,53,Barbra Wilder,17,20331,436,4313582,7.193918608830032e-12,2.188150243519135e-11
462,53,Deloras Abernathy,12,20331,184,4313582,7.70103088828046e-12,2.310309266484138e-11
532,53,Lisette Delarosa,15,20331,328,4313582,8.750761637647498e-12,2.589752430601084e-11
1613,53,Donette Nixon,35,20331,1929,4313582,1.0617105585548503e-11,3.100194830980163e-11
1168,53,Tyisha Ross,36,20331,2076,4313582,2.0235359417725316e-11,5.830978569055059e-11
1502,53,Heather Huddleston,53,20331,3997,4313582,2.5606034657263524e-11,7.282755311611315e-11
414,53,Magdalen Tuttle,45,20331,3067,4313582,2.634861026189402e-11,7.397879035070244e-11
1197,53,Emogene Fitzgerald,43,20331,2866,4313582,3.38110506961533e-11,9.37293683855389e-11
195,53,Jim Nielsen,32,20331,1746,4313582,5.3986943219124195e-11,1.4778925706235248e-10
792,53,Emily Pettit,13,20331,266,4313582,6.315342676534751e-11,1.707481538470507e-10
2010,53,Epifania Beaulieu,12,20331,219,4313582,6.824412871257074e-11,1.8226175839089016e-10
2290,53,Angelyn Rhoades,16,20331,456,4313582,1.308020259463201e-10,3.4512823713547115e-10
