,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1677,13,Aretha Payton,51,1039,875,4313582,4.120787909615855e-105,6.593260655385368e-104
244,13,Latarsha Carnes,38,1039,4302,4313582,3.059854108957963e-47,2.4478832871663705e-46
591,13,Mahalia Andrade,55,1039,29818,4313582,3.3104137903583097e-31,1.3241655161433239e-30
763,13,Ashton Hardin,69,1039,49527,4313582,2.833995219527203e-31,1.3241655161433239e-30
1320,13,Rocio Escobedo,46,1039,20109,4313582,2.2060257640051653e-30,7.059282444816529e-30
341,13,Malcolm Crook,260,1039,636055,4313582,1.649291396023563e-18,4.3981103893961675e-18
2087,13,Cyrus Ramey,83,1039,128650,4313582,7.266227311951794e-16,1.6608519570175528e-15
1891,13,Katrice Prince,12,1039,4009,4313582,3.8415298283250864e-11,7.683059656650173e-11
3,13,Donnette Sewell,14,1039,7010,4313582,3.722562453475146e-10,6.617888806178037e-10
111,13,Raleigh Meredith,16,1039,9592,4313582,4.3656709386304403e-10,6.985073501808705e-10
396,13,Kenyatta Hoff,12,1039,4994,4313582,5.400865701290331e-10,7.8558046564223e-10
1785,13,Genia Mosher,16,1039,10148,4313582,1.006141876276229e-09,1.3415225017016386e-09
872,13,Alexander Ly,11,1039,4430,4313582,1.5959676837450205e-09,1.96426791845541e-09
500,13,Cecily Brantley,14,1039,8618,4313582,5.792292557341595e-09,6.619762922676108e-09
324,13,Rolf Diggs,14,1039,8716,4313582,6.716759173880516e-09,7.164543118805883e-09
1426,13,Alethia Milton,19,1039,28732,4313582,3.504993754521849e-05,3.504993754521849e-05
