,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1721,19,Alysa Briggs,193,4653,208,4313582,0.0,0.0
2311,19,Jannie Radford,144,4653,848,4313582,3.1730965537373885e-265,8.40870586740408e-264
642,19,Ernie Wilson,90,4653,512,4313582,1.354967298343199e-168,2.393775560406318e-167
1485,19,Asuncion Padilla,65,4653,349,4313582,1.1967859340081777e-124,1.5857413625608355e-123
341,19,Malcolm Crook,1307,4653,636055,4313582,2.51245853720992e-121,2.663206049442515e-120
1032,19,Myrle North,54,4653,251,4313582,4.794790075102898e-108,4.2353978996742266e-107
1320,19,Rocio Escobedo,147,4653,20109,4313582,1.2248038097878943e-71,9.273514559822628e-71
1947,19,Britta Tilley,44,4653,923,4313582,7.443935759967066e-58,4.9316074409781814e-57
1556,19,Ethan Lilly,43,4653,908,4313582,1.7299327795994365e-56,1.0187381924307793e-55
1488,19,Shay Novak,39,4653,797,4313582,4.113285949862326e-52,2.1800415534270323e-51
1629,19,Rivka Tipton,26,4653,668,4313582,3.69955441446498e-33,1.7825125815149448e-32
286,19,Darrel Aguirre,35,4653,2690,4313582,5.2923095796200345e-27,2.3374367309988485e-26
1265,19,Fernande Crosby,13,4653,427,4313582,1.1590663279632402e-16,4.725424260157825e-16
500,19,Cecily Brantley,43,4653,8618,4313582,1.4395708199648972e-16,5.44980381843854e-16
872,19,Alexander Ly,30,4653,4430,4313582,1.185361379353683e-15,4.188276873716347e-15
2074,19,Estella Granger,15,4653,813,4313582,2.1954940083706076e-15,7.272573902727637e-15
920,19,Angelita Roe,31,4653,5129,4313582,9.317111978809083e-15,2.904746675746361e-14
610,19,Ivana Barney,14,4653,822,4313582,4.8027016316825894e-14,1.414128813773207e-13
2087,19,Cyrus Ramey,231,4653,128650,4313582,1.1993077263156645e-13,3.345437341827906e-13
396,19,Kenyatta Hoff,29,4653,4994,4313582,1.6085159848930343e-13,4.2625673599665404e-13
2059,19,Marilu Tucker,57,4653,17491,4313582,3.177216230483903e-13,8.018688581697469e-13
678,19,Kiera Flood,63,4653,23624,4313582,9.12534515043355e-11,2.1983786044226278e-10
1785,19,Genia Mosher,36,4653,10148,4313582,4.5812255623691127e-10,1.055673716545926e-09
899,19,Danilo Lopez,26,4653,7843,4313582,2.8630059798965637e-07,6.322471538938244e-07
3,19,Donnette Sewell,24,4653,7010,4313582,4.117325159203477e-07,8.728729337511371e-07
42,19,Georgianna Echols,13,4653,2368,4313582,5.190960699345328e-07,1.058157373328086e-06
591,19,Mahalia Andrade,62,4653,29818,4313582,8.788905653080813e-07,1.7252296281973448e-06
1221,19,Otis Scales,11,4653,1902,4313582,1.709420699858576e-06,3.235689181875162e-06
324,19,Rolf Diggs,26,4653,8716,4313582,2.0379275401627052e-06,3.7244882630559787e-06
1291,19,Jessi Sorenson,15,4653,3656,4313582,3.97324289638595e-06,7.0193957836151786e-06
1028,19,Charmain Chan,19,4653,5494,4313582,4.174841696529908e-06,7.1376325779382296e-06
111,19,Raleigh Meredith,25,4653,9592,4313582,2.976322204939796e-05,4.929533651931537e-05
2128,19,Woodrow Mcelroy,11,4653,2684,4313582,5.009321513922951e-05,8.045273946603527e-05
477,19,Randall Dubose,11,4653,3592,4313582,0.0006885638863018909,0.0010733495874705947
1570,19,Thu Hillman,21,4653,9358,4313582,0.0007706555501603937,0.0011669926902428819
190,19,Kaila Parrott,13,4653,4767,4313582,0.0008942701156782735,0.0013165643369707917
1146,19,Lurlene Priest,15,4653,6184,4313582,0.0014792154339106358,0.0021188761620882083
2081,19,Vannessa Holman,29,4653,16086,4313582,0.0035462223345371874,0.004946046940275551
763,19,Ashton Hardin,73,4653,49527,4313582,0.004186729709707177,0.0056896583234482155
1859,19,Mandy Yang,12,4653,5506,4313582,0.008088194969062483,0.01071685833400779
1770,19,Polly Carroll,11,4653,5061,4313582,0.010333147707538548,0.013357483621940072
1868,19,Hue Craft,17,4653,9122,4313582,0.012214533569506213,0.015413578075805458
1605,19,Charisse Schmidt,38,4653,24974,4313582,0.016612777362823888,0.020476213958829443
2071,19,Morris Stovall,22,4653,14807,4313582,0.05696401544338391,0.06861574587498516
2200,19,Yee Hahn,12,4653,7613,4313582,0.07425994996469229,0.08746171884730425
2136,19,Maisie Castro,13,4653,11005,4313582,0.30470119427836706,0.3510687673207272
2130,19,Sina Donaldson,21,4653,20065,4313582,0.49811995857815694,0.5617097405243047
1404,19,Tennille Conway,19,4653,18328,4313582,0.5093995953311748,0.5624620531781722
2134,19,Irving Langston,37,4653,35497,4313582,0.5406173885527621,0.5847494202713549
1426,19,Alethia Milton,28,4653,28732,4313582,0.6647892384085216,0.7046765927130328
2299,19,Delia Shockley,16,4653,19187,4313582,0.8215095241566618,0.8537255839275113
909,19,Dolly Bragg,14,4653,19572,4313582,0.9320715608274198,0.9499960139202548
492,19,Mariko Hayes,12,4653,30122,4313582,0.9999671920865403,0.9999671920865403
