,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1667,60,Assunta Stevenson,593,8610,5216,4313582,0.0,0.0
747,60,Garret Jacobsen,1377,8610,35618,4313582,0.0,0.0
1434,60,Alva Mcnamara,1820,8610,10718,4313582,0.0,0.0
1478,60,Rocio Gates,452,8610,1975,4313582,0.0,0.0
1595,60,Vertie Buchanan,260,8610,1020,4313582,0.0,0.0
1906,60,Leanora Dill,1418,8610,17499,4313582,0.0,0.0
386,60,Dayna Arellano,198,8610,1696,4313582,1.8897571525824256e-275,1.0528646992959229e-274
2313,60,Camelia Pressley,221,8610,4867,4313582,6.02270490417084e-215,2.9360686407832847e-214
2183,60,Eula Hudgins,77,8610,933,4313582,4.942194665992622e-97,2.1416176885968026e-96
1242,60,Bernardo Aguilera,49,8610,155,4313582,1.0492156155936541e-94,4.0919409008152514e-94
2072,60,Cleopatra Reeves,52,8610,295,4313582,5.534028672295579e-85,1.9620647110866145e-84
2143,60,Jefferson Golden,41,8610,263,4313582,2.3148661658678735e-65,7.523315039070589e-65
1067,60,Sharmaine Brunson,35,8610,154,4313582,8.389034377948747e-63,2.516710313384624e-62
879,60,Julissa Denson,30,8610,136,4313582,6.428452400630953e-54,1.7907831687471942e-53
585,60,Stephany Hernandez,49,8610,1316,4313582,8.838857781592724e-46,2.2981030232141082e-45
208,60,Ollie England,37,8610,582,4313582,5.313596695880105e-44,1.2951891946207755e-43
1060,60,Kayla Cano,18,8610,844,4313582,2.7801981924168557e-14,6.378101735544551e-14
1170,60,Loren Krueger,49,8610,7975,4313582,6.29770735101839e-12,1.3645032593873178e-11
763,60,Ashton Hardin,164,8610,49527,4313582,5.814826953857141e-10,1.19356974316015e-09
88,60,Barbara Beal,13,8610,1014,4313582,3.145662820074022e-08,6.134042499144343e-08
437,60,Randolph Walton,11,8610,946,4313582,7.171589732870751e-07,1.3318666646759966e-06
506,60,Annalisa Hobbs,16,8610,2020,4313582,1.1991715219720368e-06,2.1258040616777016e-06
355,60,Summer Eubanks,25,8610,5358,4313582,5.083361382646887e-05,8.619612779270808e-05
599,60,Dwain Mcmillian,21,8610,6913,4313582,0.024969717476941836,0.04057579090003048
670,60,Della Donnelly,21,8610,7235,4313582,0.03793835296884125,0.05918383063139235
625,60,Luetta Stern,20,8610,7546,4313582,0.08519401369169516,0.12779102053754274
2299,60,Delia Shockley,27,8610,19187,4313582,0.9652648887846134,1.0
2286,60,Lindsay Bentley,11,8610,7708,4313582,0.8399886125122894,1.0
341,60,Malcolm Crook,361,8610,636055,4313582,1.0,1.0
2130,60,Sina Donaldson,12,8610,20065,4313582,0.999999805745039,1.0
2087,60,Cyrus Ramey,49,8610,128650,4313582,1.0,1.0
678,60,Kiera Flood,22,8610,23624,4313582,0.9999664855247918,1.0
909,60,Dolly Bragg,24,8610,19572,4313582,0.9934765464942272,1.0
591,60,Mahalia Andrade,23,8610,29818,4313582,0.9999999526433466,1.0
1570,60,Thu Hillman,13,8610,9358,4313582,0.8893112269478243,1.0
1426,60,Alethia Milton,29,8610,28732,4313582,0.9999743414440954,1.0
1404,60,Tennille Conway,16,8610,18328,4313582,0.9998944341387541,1.0
2302,60,Cliff Creech,33,8610,25267,4313582,0.9942144401493179,1.0
2071,60,Morris Stovall,16,8610,14807,4313582,0.9952624215485456,1.0
