,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
2318,29,Rickey Seay,360,48062,1400,4313582,0.0,0.0
1476,29,Ludivina Minor,360,48062,1400,4313582,0.0,0.0
1390,29,Tyron Golden,360,48062,1400,4313582,0.0,0.0
1386,29,Zena Spivey,360,48062,1400,4313582,0.0,0.0
1310,29,Anjelica Simpson,360,48062,1400,4313582,0.0,0.0
1284,29,Milissa Toney,360,48062,1400,4313582,0.0,0.0
1275,29,Keri Lackey,360,48062,1400,4313582,0.0,0.0
1249,29,Tonia Mcintosh,360,48062,1400,4313582,0.0,0.0
1237,29,Stanford Coyle,360,48062,1400,4313582,0.0,0.0
1198,29,Etta Marquez,360,48062,1400,4313582,0.0,0.0
294,29,Ina Mohr,360,48062,1400,4313582,0.0,0.0
1188,29,Pennie Boston,360,48062,1400,4313582,0.0,0.0
305,29,Minh Beverly,825,48062,11604,4313582,0.0,0.0
1122,29,Kasi Overton,360,48062,1400,4313582,0.0,0.0
836,29,Shawnna Latham,360,48062,1400,4313582,0.0,0.0
800,29,Frederic Goodson,360,48062,1400,4313582,0.0,0.0
796,29,Micha Burden,360,48062,1400,4313582,0.0,0.0
751,29,Elnora Schaefer,360,48062,1400,4313582,0.0,0.0
341,29,Malcolm Crook,12627,48062,636055,4313582,0.0,0.0
368,29,Raymonde Underwood,360,48062,1400,4313582,0.0,0.0
724,29,Aurora Cano,360,48062,1400,4313582,0.0,0.0
696,29,Sybil Spencer,360,48062,1400,4313582,0.0,0.0
680,29,Casie Hairston,360,48062,1400,4313582,0.0,0.0
593,29,Essie Steward,360,48062,1400,4313582,0.0,0.0
1484,29,Alysia Fenton,360,48062,1400,4313582,0.0,0.0
395,29,Doyle Mccord,360,48062,1400,4313582,0.0,0.0
561,29,Lang Dudley,360,48062,1400,4313582,0.0,0.0
150,29,Arie Shultz,360,48062,1400,4313582,0.0,0.0
2225,29,Graig Cody,642,48062,2163,4313582,0.0,0.0
2223,29,Isaias Zeigler,360,48062,1400,4313582,0.0,0.0
2214,29,Eartha Pham,360,48062,1400,4313582,0.0,0.0
2198,29,Bao Bellamy,360,48062,1400,4313582,0.0,0.0
2061,29,Rosalva Bates,360,48062,1400,4313582,0.0,0.0
2041,29,Bob Jarrett,360,48062,1400,4313582,0.0,0.0
30,29,Derick Richey,360,48062,1400,4313582,0.0,0.0
2011,29,Juliana Suggs,360,48062,1400,4313582,0.0,0.0
1989,29,Walter Goldsmith,360,48062,1400,4313582,0.0,0.0
1981,29,Shona Browning,360,48062,1400,4313582,0.0,0.0
1972,29,Jonas England,360,48062,1400,4313582,0.0,0.0
1522,29,Cathleen Quinn,360,48062,1400,4313582,0.0,0.0
1917,29,Bernarda Aguirre,360,48062,1400,4313582,0.0,0.0
1870,29,Timmy Lemons,360,48062,1400,4313582,0.0,0.0
1831,29,Lashunda Stjohn,360,48062,1400,4313582,0.0,0.0
1781,29,Carmel Sewell,360,48062,1400,4313582,0.0,0.0
92,29,Lane Morales,360,48062,1400,4313582,0.0,0.0
1735,29,Arminda Newman,360,48062,1400,4313582,0.0,0.0
1579,29,Kenyetta Sheridan,360,48062,1400,4313582,0.0,0.0
1554,29,Angeles Suarez,360,48062,1400,4313582,0.0,0.0
1553,29,Tennille Le,360,48062,1400,4313582,0.0,0.0
158,29,Catina Lovett,512,48062,5100,4313582,1.0443268575084073e-304,5.618478493395231e-304
114,29,Kena Jernigan,274,48062,1033,4313582,2.1463286890408089e-283,1.1320831712783873e-282
137,29,Leota Odonnell,349,48062,2390,4313582,5.3331054624475914e-264,2.7588564796123115e-263
1309,29,Damaris Sewell,311,48062,2127,4313582,9.614289180519539e-236,4.879705263320295e-235
1885,29,Kiara Lofton,304,48062,2035,4313582,2.299426414813906e-233,1.1454550103424828e-232
1,29,Yukiko Stamper,300,48062,2001,4313582,8.285064292920866e-231,4.0521496269012965e-230
1841,29,Cleora Dobbins,295,48062,2068,4313582,1.3991664168367181e-220,6.720995823733521e-220
36,29,Bibi Daugherty,267,48062,2136,4313582,1.0758481159478307e-184,5.077248126139763e-184
907,29,Wenona Ames,208,48062,1111,4313582,1.0940847054594055e-181,5.074289409803105e-181
105,29,Petra Latham,136,48062,362,4313582,1.524606211966132e-166,6.951170695235415e-166
719,29,Nia Maxwell,230,48062,1766,4313582,1.4911846742764026e-163,6.685477956339205e-163
1572,29,Evelyne Ross,177,48062,957,4313582,4.303003865712345e-154,1.897554163732165e-153
668,29,Creola Roberts,190,48062,1175,4313582,1.1810657982665181e-153,5.124301608607957e-153
866,29,Dung Sands,202,48062,1533,4313582,5.093824213205999e-145,2.1749820846863708e-144
2280,29,Jeremy Sykes,176,48062,1222,4313582,1.5125548756613285e-133,6.357457211764022e-133
1866,29,Janina Agee,121,48062,424,4313582,2.2183541833039662e-131,9.180573466288722e-131
1238,29,Nery Brinkley,167,48062,1257,4313582,5.295846692004679e-121,2.1584587274988767e-120
1348,29,Candi Vance,97,48062,270,4313582,1.7913058323250652e-117,7.19195923724541e-117
1897,29,Soraya Downey,162,48062,1233,4313582,1.0860862291658121e-116,4.296429347729463e-116
2233,29,Lera Ortega,148,48062,983,4313582,1.1308797609131851e-115,4.408792111386186e-115
1409,29,Carolee Beasley,150,48062,1214,4313582,2.6287858880881157e-104,1.0102048627081473e-103
2219,29,Tamara Carmichael,134,48062,908,4313582,7.782485774128195e-104,2.9485755961133584e-103
1207,29,Rex Holbrook,98,48062,371,4313582,2.727775586611841e-103,1.019127267775813e-102
2305,29,Alessandra Suggs,143,48062,1239,4313582,1.9815759955159272e-95,7.301971819092937e-95
1549,29,Hsiu Layne,267,48062,5112,4313582,5.7007039110154316e-93,2.0722829081934475e-92
976,29,Justin Conn,96,48062,507,4313582,4.760271053508211e-86,1.7073505511916117e-85
2284,29,Roni Murray,90,48062,442,4313582,6.658645869435519e-84,2.356810182734414e-83
540,29,Barbra Wilder,88,48062,436,4313582,9.548936662517285e-82,3.335927223658636e-81
282,29,Tisa Roman,82,48062,380,4313582,5.786724846732846e-79,1.9956781843219686e-78
1007,29,Verena Duncan,118,48062,1138,4313582,6.020717985113645e-74,2.0500925797412286e-73
1069,29,Dawn Barlow,122,48062,1306,4313582,4.126656992384964e-71,1.387588413689444e-70
301,29,Rachelle Epps,73,48062,338,4313582,1.1289777206920378e-70,3.749321072421706e-70
95,29,Ricki Hawk,80,48062,557,4313582,3.057609572459211e-62,1.0030450914530827e-61
1582,29,Apryl Drew,63,48062,309,4313582,1.0456936382290375e-59,3.389055285344712e-59
1406,29,Alexis Cavazos,52,48062,179,4313582,8.269494603286103e-59,2.6482072003380495e-58
2076,29,Verla Hatfield,52,48062,185,4313582,6.066556414291896e-58,1.919886676993553e-57
1970,29,Cary Matthews,48,48062,156,4313582,6.049921902236928e-56,1.8923592926764346e-55
541,29,Leonel Fink,52,48062,204,4313582,2.053162232153901e-55,6.348283223556315e-55
2162,29,Georgine Ivey,65,48062,398,4313582,7.372174355775746e-55,2.253539661026904e-54
532,29,Lisette Delarosa,59,48062,328,4313582,1.1323248312758634e-52,3.422419995654014e-52
12,29,Sherrell Coffman,57,48062,304,4313582,4.400937166430577e-52,1.3153912197442502e-51
1982,29,Colin Hunt,107,48062,1610,4313582,2.631555657125252e-48,7.778994195238384e-48
699,29,Kathyrn Prater,65,48062,514,4313582,1.699167162260776e-47,4.968217028784225e-47
378,29,Lonny Foster,42,48062,159,4313582,4.150166806675355e-46,1.2004245924684628e-45
993,29,Amy Cooke,76,48062,809,4313582,1.618829240277071e-45,4.632607081218426e-45
1362,29,Casimira Jacobs,76,48062,817,4313582,3.2837348889281935e-45,9.298154580228252e-45
273,29,Savanna Billings,61,48062,516,4313582,5.6567104465772545e-43,1.5850574063846682e-42
655,29,Oneida Brewer,64,48062,615,4313582,1.7431014910868027e-41,4.833961867034535e-41
1031,29,Tamika Nickerson,47,48062,277,4313582,2.6313850184290364e-41,7.222883366912355e-41
932,29,Blondell Carney,87,48062,1270,4313582,8.972844305305049e-41,2.4380758768960184e-40
