,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1549,33,Hsiu Layne,652,11821,5112,4313582,0.0,0.0
341,33,Malcolm Crook,3732,11821,636055,4313582,0.0,0.0
1867,33,Dirk Grady,492,11821,4193,4313582,0.0,0.0
273,33,Savanna Billings,82,11821,516,4313582,1.7020768353709005e-116,5.744509319376789e-115
2040,33,Kristine Serrano,85,11821,678,4313582,3.025051184418663e-111,8.167638197930391e-110
158,33,Catina Lovett,147,11821,5100,4313582,9.632892719829353e-97,2.1674008619616045e-95
1540,33,Queenie Moffett,152,11821,5874,4313582,2.222583981506982e-93,4.286411964334894e-92
396,33,Kenyatta Hoff,139,11821,4994,4313582,1.14506751687025e-89,1.932301434718547e-88
920,33,Angelita Roe,122,11821,5129,4313582,2.1266659498212814e-71,3.189998924731922e-70
884,33,Kristin Vernon,163,11821,10096,4313582,1.9347318215731693e-70,2.6118879591237784e-69
3,33,Donnette Sewell,136,11821,7010,4313582,1.5166458159434363e-68,1.8613380468396715e-67
872,33,Alexander Ly,112,11821,4430,4313582,1.8151756309637359e-68,2.0420725848342027e-67
324,33,Rolf Diggs,147,11821,8716,4313582,3.8992889209298285e-66,4.049261571734822e-65
1600,33,Twyla Diamond,95,11821,3474,4313582,1.8168155750674366e-61,1.751929304529314e-60
2290,33,Angelyn Rhoades,43,11821,456,4313582,2.4535740293062207e-52,2.208216626375599e-51
1785,33,Genia Mosher,136,11821,10148,4313582,5.017881642534789e-50,4.233837635888728e-49
500,33,Cecily Brantley,123,11821,8618,4313582,3.141309280070138e-48,2.494569134173345e-47
528,33,Veta Flores,75,11821,2871,4313582,1.0095064846950024e-47,7.571298635212518e-47
276,33,Antionette Larsen,42,11821,736,4313582,8.716183492575016e-42,6.193077744724353e-41
454,33,Flor Mcdowell,51,11821,1484,4313582,4.6448555662837363e-39,3.135277507241522e-38
1072,33,Lessie Aguilera,23,11821,120,4313582,2.6558378453787615e-37,1.707324329172061e-36
918,33,Ahmad Hess,57,11821,2258,4313582,3.923975178394641e-36,2.4078938594694387e-35
36,33,Bibi Daugherty,53,11821,2136,4313582,2.0329492858408602e-33,1.1932528416892006e-32
435,33,Kimberlie Peacock,22,11821,148,4313582,4.3491136768157514e-33,2.44637644320886e-32
480,33,Cletus Burns,21,11821,148,4313582,2.896494708757614e-31,1.5641071427291116e-30
2299,33,Delia Shockley,154,11821,19187,4313582,1.1952560204516874e-30,6.206137029268377e-30
1910,33,Myrtie Salazar,27,11821,482,4313582,1.0425988690177259e-27,5.212994345088629e-27
871,33,Lisabeth Brunner,21,11821,233,4313582,9.335643916631196e-27,4.501114031232898e-26
1254,33,Sumiko Main,21,11821,261,4313582,1.1793749047143097e-25,5.4901935219459245e-25
49,33,Naoma Douglas,22,11821,318,4313582,3.2645175668753465e-25,1.469032905093906e-24
1288,33,Jc Barnard,44,11821,2210,4313582,2.3882006673104794e-24,1.040022871248112e-23
1357,33,Julie Laws,81,11821,7842,4313582,1.568674891295746e-23,6.617847197653928e-23
550,33,Adalberto Seymour,21,11821,362,4313582,1.5667353813783796e-22,6.409372014729735e-22
77,33,Alphonso Roach,28,11821,913,4313582,2.3941003201943856e-21,9.505986565477708e-21
1,33,Yukiko Stamper,36,11821,2001,4313582,5.873521948640686e-19,2.265501323047122e-18
1190,33,Marisha Hammons,21,11821,593,4313582,5.753202509695132e-18,2.1574509411356744e-17
1350,33,Hong Reid,20,11821,544,4313582,1.4549184914685497e-17,5.308486387790654e-17
1453,33,Wilma Pruitt,38,11821,2590,4313582,6.077531968921406e-17,2.1591231994852364e-16
340,33,Yung Bean,68,11821,7972,4313582,5.712674228436937e-16,1.9774641559974014e-15
305,33,Minh Beverly,85,11821,11604,4313582,1.2619463419714423e-15,4.259068904153618e-15
1530,33,Duncan Zepeda,50,11821,4937,4313582,4.7021682057863405e-15,1.5482748970272097e-14
2219,33,Tamara Carmichael,20,11821,908,4313582,3.1043352693046844e-13,9.978220508479343e-13
1570,33,Thu Hillman,68,11821,9358,4313582,9.304847935888454e-13,2.9212894682440493e-12
1982,33,Colin Hunt,25,11821,1610,4313582,1.7647110619933239e-12,5.414454394752243e-12
2077,33,Vanda Augustine,50,11821,5907,4313582,3.4820101701454064e-12,1.0446030510436219e-11
156,33,Paz Parson,13,11821,398,4313582,1.1427918272428309e-11,3.3538455799517865e-11
1206,33,Lauretta Sweet,22,11821,1398,4313582,2.257036175433824e-11,6.482976248586515e-11
450,33,Verdell Bundy,37,11821,3850,4313582,4.6155819014024126e-11,1.2981324097694285e-10
87,33,Akiko Hamilton,28,11821,2372,4313582,7.183712428881934e-11,1.9597078756102896e-10
719,33,Nia Maxwell,24,11821,1766,4313582,7.258177317075146e-11,1.9597078756102896e-10
407,33,Shellie Blount,36,11821,3859,4313582,1.803876324881504e-10,4.774966742333393e-10
1165,33,Augustine Aguirre,38,11821,4515,4313582,1.085893100442137e-09,2.8191455492247787e-09
1309,33,Damaris Sewell,24,11821,2127,4313582,3.045481623900445e-09,7.757358853331322e-09
195,33,Jim Nielsen,21,11821,1746,4313582,7.719739592062165e-09,1.9299348980155413e-08
1426,33,Alethia Milton,132,11821,28732,4313582,1.3355136513971868e-08,3.278078962520368e-08
137,33,Leota Odonnell,24,11821,2390,4313582,2.874787412930037e-08,6.930291084742053e-08
2141,33,Eleonore Daugherty,24,11821,2499,4313582,6.637526158211604e-08,1.5720456690501166e-07
2242,33,Jarrett Holbrook,13,11821,793,4313582,7.312523315867018e-08,1.7020528407621508e-07
678,33,Kiera Flood,110,11821,23624,4313582,9.679621992579293e-08,2.2148287610139058e-07
899,33,Danilo Lopez,49,11821,7843,4313582,9.860281431040814e-08,2.2185633219841833e-07
1902,33,Darryl Hemphill,11,11821,611,4313582,2.0008839918895757e-07,4.4281858836900445e-07
1291,33,Jessi Sorenson,29,11821,3656,4313582,2.4332058040511984e-07,5.298109412046964e-07
904,33,Dann Rivers,77,11821,15202,4313582,2.9318287247564084e-07,6.184326216283048e-07
668,33,Creola Roberts,15,11821,1175,4313582,2.919154714596999e-07,6.184326216283048e-07
639,33,Danna Kenny,45,11821,7206,4313582,2.9913320472505357e-07,6.21276655967419e-07
2286,33,Lindsay Bentley,47,11821,7708,4313582,3.3711673953983704e-07,6.895569672405758e-07
190,33,Kaila Parrott,34,11821,4767,4313582,3.4396250539253095e-07,6.930587795222638e-07
97,33,Cecilia Smiley,14,11821,1045,4313582,3.5236047528486723e-07,6.995391788743689e-07
2305,33,Alessandra Suggs,15,11821,1239,4313582,5.825058485573162e-07,1.13968535587301e-06
2262,33,Linnea Coleman,11,11821,683,4313582,6.43413684281198e-07,1.2408692482565962e-06
1708,33,Jackson Swann,14,11821,1112,4313582,7.596709740939541e-07,1.424383076426164e-06
907,33,Wenona Ames,14,11821,1111,4313582,7.513270146026857e-07,1.424383076426164e-06
2233,33,Lera Ortega,13,11821,983,4313582,9.354315673505798e-07,1.7299076930455926e-06
23,33,Korey Battle,21,11821,2338,4313582,1.0628214152662967e-06,1.9389309602831087e-06
111,33,Raleigh Meredith,53,11821,9592,4313582,1.3515902733128072e-06,2.4328624919630528e-06
538,33,Cheryle Hinds,15,11821,1331,4313582,1.4596846667512065e-06,2.5928609212028006e-06
290,33,Vincenzo Nunn,32,11821,4683,4313582,1.7333072279634992e-06,3.038915269806135e-06
58,33,Somer Crum,11,11821,791,4313582,2.8980955718723296e-06,5.015934643625186e-06
1134,33,Kathrin Nicholas,22,11821,2730,4313582,3.767866247607396e-06,6.358274292837481e-06
1572,33,Evelyne Ross,12,11821,957,4313582,3.752558686086235e-06,6.358274292837481e-06
1356,33,Dannielle Gates,13,11821,1116,4313582,3.996233308923206e-06,6.660388848205344e-06
1197,33,Emogene Fitzgerald,22,11821,2866,4313582,8.150408010277324e-06,1.3418354651066328e-05
1689,33,Ayako Kidd,12,11821,1033,4313582,8.426284861060057e-06,1.3705403087266358e-05
1409,33,Carolee Beasley,13,11821,1214,4313582,1.0211746420450682e-05,1.641173531858145e-05
2280,33,Jeremy Sykes,13,11821,1222,4313582,1.097758764604677e-05,1.7434992143721338e-05
1897,33,Soraya Downey,13,11821,1233,4313582,1.2113339380330546e-05,1.9015125771449113e-05
2128,33,Woodrow Mcelroy,20,11821,2684,4313582,2.821634490880792e-05,4.37839834791847e-05
2030,33,Kenda Sample,15,11821,1709,4313582,3.115423373589258e-05,4.779342675392611e-05
114,33,Kena Jernigan,11,11821,1033,4313582,3.980769270966093e-05,6.038245523375534e-05
1069,33,Dawn Barlow,12,11821,1306,4313582,9.123094138750947e-05,0.00013684641208126422
941,33,Clifford Richard,27,11821,4600,4313582,0.00012082697465969086,0.00017924880856107984
1389,33,Kimiko Burnette,11,11821,1174,4313582,0.00013128423167016887,0.00019264533995079128
78,33,Lyndia Ragsdale,11,11821,1230,4313582,0.000200432288703123,0.00029095009650453337
1841,33,Cleora Dobbins,15,11821,2068,4313582,0.00026934046114170476,0.0003868187473843632
858,33,Daniella Pickett,14,11821,2030,4313582,0.0006544127217545537,0.00092995492038805
1373,33,Percy Rowland,22,11821,3951,4313582,0.0008301847860185655,0.001155964035892652
763,33,Ashton Hardin,173,11821,49527,4313582,0.0008305815665302759,0.001155964035892652
1762,33,Treena Kern,11,11821,1475,4313582,0.0009772671092604804,0.0013462353035731108
657,33,Jackson Koenig,12,11821,1720,4313582,0.001187667501388507,0.0016195465928025097
547,33,Aldo Fagan,16,11821,2785,4313582,0.002292727444384485,0.0030951820499190547
2302,33,Cliff Creech,93,11821,25267,4313582,0.002571542322804324,0.0034372100354315223
308,33,Haley Fitzgerald,31,11821,6936,4313582,0.003942992344983799,0.005218666338949145
627,33,Leigha Jarrell,11,11821,1780,4313582,0.004450012410849703,0.0058325405384923295
477,33,Randall Dubose,18,11821,3592,4313582,0.006053954958159893,0.007858499224534476
946,33,Keith Lancaster,18,11821,3663,4313582,0.007357002478065719,0.009459003186084496
1277,33,Keturah Richardson,12,11821,2667,4313582,0.035807724645133425,0.04560417761408502
1555,33,Kia Sampson,16,11821,3812,4313582,0.03780851359967583,0.04770233024258166
1623,33,Lakeesha Newcomb,12,11821,3239,4313582,0.11502412161134717,0.14378015201418395
1665,33,Codi Mcghee,12,11821,3384,4313582,0.14464766788540945,0.17915078132596582
909,33,Dolly Bragg,60,11821,19572,4313582,0.17260692451396414,0.21183577099441056
549,33,Robt Greenberg,11,11821,3284,4313582,0.19660445646880864,0.23911352813774026
2200,33,Yee Hahn,24,11821,7613,4313582,0.20840142570954023,0.25119814706060656
2136,33,Maisie Castro,33,11821,11005,4313582,0.26464711057036266,0.3161713267876014
1099,33,Twanda Story,11,11821,3635,4313582,0.2986312944414116,0.35056717173557017
1880,33,Hye Jarrett,18,11821,6009,4313582,0.29720175150325234,0.35056717173557017
1905,33,Frederica Burrell,12,11821,4068,4313582,0.3274285125275691,0.3810590447519123
1133,33,Alica Monroe,15,11821,5157,4313582,0.34361715953905925,0.3964813379296837
1081,33,Leta Girard,14,11821,5073,4313582,0.41916961338598197,0.47955845599243696
1096,33,Shayla Bowie,32,11821,12453,4313582,0.5997938297323446,0.6804383782677859
2138,33,Lucile Cardwell,13,11821,5403,4313582,0.6183979676530901,0.6956977136097263
2071,33,Morris Stovall,23,11821,14807,4313582,0.9980847809671456,0.9999999998289139
7,33,Sharron Camp,12,11821,7487,4313582,0.9694879094031477,0.9999999998289139
1605,33,Charisse Schmidt,13,11821,24974,4313582,0.999999999767513,0.9999999998289139
591,33,Mahalia Andrade,41,11821,29818,4313582,0.9999995647132406,0.9999999998289139
1320,33,Rocio Escobedo,23,11821,20109,4313582,0.999999209954913,0.9999999998289139
599,33,Dwain Mcmillian,11,11821,6913,4313582,0.964697247974091,0.9999999998289139
2171,33,Ernesto Woodward,23,11821,25471,4313582,0.9999999986754915,0.9999999998289139
1344,33,Brianna Nance,13,11821,19984,4313582,0.9999999962067376,0.9999999998289139
492,33,Mariko Hayes,46,11821,30122,4313582,0.9999923570865508,0.9999999998289139
2134,33,Irving Langston,15,11821,35497,4313582,0.9999999998289139,0.9999999998289139
2130,33,Sina Donaldson,32,11821,20065,4313582,0.999464917491248,0.9999999998289139
835,33,Elfrieda Miranda,17,11821,10166,4313582,0.9811888234855306,0.9999999998289139
369,33,Lanelle Mcdonald,12,11821,7038,4313582,0.946857238482619,0.9999999998289139
2059,33,Marilu Tucker,13,11821,17491,4313582,0.9999999960233392,0.9999999998289139
2087,33,Cyrus Ramey,147,11821,128650,4313582,0.9999999967820503,0.9999999998289139
