,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1370,50,Freeman Burkhart,1889,18749,2280,4313582,0.0,0.0
1900,50,Jeneva Dejesus,2164,18749,2333,4313582,0.0,0.0
1922,50,Refugia Weller,1650,18749,1763,4313582,0.0,0.0
669,50,Genaro Priest,708,18749,880,4313582,0.0,0.0
352,50,Vanetta Hooper,151,18749,168,4313582,0.0,0.0
768,50,Tressa Harrell,232,18749,570,4313582,0.0,0.0
1658,50,Laila Crocker,297,18749,379,4313582,0.0,0.0
2139,50,Bradford Robinette,192,18749,193,4313582,0.0,0.0
121,50,Leota Diehl,285,18749,385,4313582,0.0,0.0
2197,50,Jules Ulrich,526,18749,549,4313582,0.0,0.0
2113,50,Nita Kirby,108,18749,111,4313582,1.5966573402509105e-254,2.5111065442127956e-253
1213,50,Refugia Quintana,117,18749,144,4313582,3.63540833298817e-251,5.241047013391279e-250
525,50,Leif Ruth,171,18749,845,4313582,1.3392932436729782e-224,1.782290239657117e-223
340,50,Yung Bean,298,18749,7972,4313582,4.2284468616897576e-170,5.2251521933737716e-169
219,50,Laurette Collier,61,18749,719,4313582,5.5633104091074065e-58,6.416351338503876e-57
63,50,Fritz Vann,149,18749,7128,4313582,9.038129922081282e-54,9.772477978250385e-53
2052,50,Theron Guillory,77,18749,1817,4313582,8.315378947034204e-50,8.462120928452453e-49
630,50,Carl Parks,38,18749,402,4313582,4.2696326228650366e-39,4.103591354198063e-38
23,50,Korey Battle,69,18749,2338,4313582,4.90662461011075e-35,4.467610829206104e-34
1570,50,Thu Hillman,135,18749,9358,4313582,2.989568396729914e-32,2.5859766631713757e-31
1838,50,Cheri Bunch,21,18749,173,4313582,2.1965174980696745e-25,1.8095120341240652e-24
899,50,Danilo Lopez,102,18749,7843,4313582,1.1079576906921308e-21,8.712576385897211e-21
538,50,Cheryle Hinds,38,18749,1331,4313582,6.105162440893091e-20,4.59214392293263e-19
884,50,Kristin Vernon,110,18749,10096,4313582,1.1354970830365784e-17,8.185041473555336e-17
1528,50,Tasia Rojas,13,18749,106,4313582,6.220392008051788e-17,4.3045112695718365e-16
678,50,Kiera Flood,192,18749,23624,4313582,8.744428818164838e-16,5.818408405932757e-15
81,50,Maryjo Campos,17,18749,283,4313582,1.2454323014438282e-15,7.979992153695639e-15
2141,50,Eleonore Daugherty,45,18749,2499,4313582,1.5383148477199205e-15,9.504588166269508e-15
112,50,Coralee Mcrae,33,18749,1371,4313582,1.7670382399186816e-15,1.0541297086411445e-14
2128,50,Woodrow Mcelroy,46,18749,2684,4313582,4.7000691051191015e-15,2.710373183952015e-14
1389,50,Kimiko Burnette,30,18749,1174,4313582,5.7123550415957975e-15,3.187862652245397e-14
91,50,Breana Crowell,26,18749,988,4313582,1.3861089940877904e-13,7.493651749287117e-13
454,50,Flor Mcdowell,31,18749,1484,4313582,4.760882366452962e-13,2.4958565133223103e-12
2029,50,Alla Richey,22,18749,792,4313582,2.5193159985518244e-12,1.2818872580866635e-11
1495,50,Nga Hickman,21,18749,768,4313582,9.662184062479278e-12,4.775879550882614e-11
336,50,Charissa Wynn,19,18749,656,4313582,2.7695277637212313e-11,1.3309119531215917e-10
479,50,Ramona Paul,28,18749,1502,4313582,7.52109485402634e-11,3.516620026342045e-10
1373,50,Percy Rowland,49,18749,3951,4313582,8.059886409664397e-11,3.669369339136686e-10
78,50,Lyndia Ragsdale,25,18749,1230,4313582,1.0438884917611992e-10,4.6305822839663454e-10
