,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
900,Linux,Carmon Romero,193,102787,1985,4313582,7.38328572107959E-60,1.54533887185387E-59
281,Linux,Laci Stanley,137,102787,1022,4313582,1.20258072279481E-59,2.48809804716168E-59
1060,Linux,Kayla Cano,123,102787,844,4313582,6.59813835961809E-58,1.34961920992188E-57
2248,Linux,Tequila Curtis,126,102787,1119,4313582,1.15844544756747E-46,2.34292337710274E-46
1174,Linux,Rodrigo Mason,120,102787,1104,4313582,5.41959571248539E-43,1.08391914249708E-42
387,Linux,Carley Maynard,100,102787,997,4313582,2.57236250065493E-33,5.08818956173502E-33
1953,Linux,Marybeth Starks,36,102787,398,4313582,3.89418031882938E-12,7.61904844988358E-12
919,Linux,Kaitlin Mcdaniel,18,102787,116,4313582,4.62418274895754E-11,8.95003112701459E-11
890,Linux,Tameika Hedrick,16,102787,106,4313582,6.66778289781182E-10,1.27680949107035E-09
1775,Linux,Meagan Baez,26,102787,335,4313582,5.75943620124374E-08,1.09126159602513E-07
423,Linux,Ellamae Chambers,17,102787,163,4313582,8.84986101765373E-08,1.65934894081007E-07
1071,Linux,Loni Angel,12,102787,153,4313582,8.57624684830979E-05,0.0001591468
853,Linux,Kandace Cleveland,11,102787,133,4313582,8.92874918367785E-05,0.0001639974
1447,Linux,Clayton Graves,12,102787,158,4313582,0.0001187569,0.0002159215
2301,Linux,Robby Esparza,23,102787,452,4313582,0.0002850656,0.0005131181
571,Linux,Katia Herring,23,102787,516,4313582,0.001752723,0.0031236648
459,Linux,Susanna Henley,32,102787,818,4313582,0.0029006194,0.0051187402
704,Linux,Franklin Murry,12,102787,242,4313582,0.0058438704,0.010212589
56,Linux,Dorathy Looney,12,102787,282,4313582,0.0189854826,0.0328594892
1628,Linux,Lydia Nolan,20,102787,622,4313582,0.0732635216,0.1255946084
1186,Linux,Gussie Streeter,12,102787,368,4313582,0.1054401511,0.1790493132
1496,Linux,Moriah Brunner,31,102787,1098,4313582,0.1459045107,0.2454468404
403,Linux,Lyndia Delgado,18,102787,616,4313582,0.1559032171,0.2598386952
1223,Linux,Efren Sorensen,14,102787,658,4313582,0.6040355692,0.9974899307
2077,Linux,Vanda Augustine,29,102787,5907,4313582,0.999999993,1
2071,Linux,Morris Stovall,18,102787,14807,4313582,0.999999996,1
437,Linux,Randolph Walton,14,102787,946,4313582,0.9637537405,1
357,Linux,Kyla Edwards,11,102787,2502,4313582,0.9999999869,1
450,Linux,Verdell Bundy,62,102787,3850,4313582,0.9994421068,1
2059,Linux,Marilu Tucker,272,102787,17491,4313582,0.9999999987,1
2087,Linux,Cyrus Ramey,101,102787,128650,4313582,0.9999999981,1
2302,Linux,Cliff Creech,27,102787,25267,4313582,1,1
396,Linux,Kenyatta Hoff,18,102787,4994,4313582,1,1
341,Linux,Malcolm Crook,658,102787,636055,4313582,0.999999999,1
2097,Linux,Shawnda Sisk,15,102787,952,4313582,0.9431940861,1
2286,Linux,Lindsay Bentley,22,102787,7708,4313582,1,1
