,artist,x,k,m,N,p-val,adj_pval(BH)
872,Alexander Ly,1792,1672335,4430,4313582,0.010441202000761403,0.023041885012341265
2158,Charlsie Bruner,78,1672335,165,4313582,0.010686265220530768,0.023557581476569424
482,Noriko Ortega,110,1672335,240,4313582,0.01087030580962622,0.023937801091410933
1225,Theodore Mccain,139,1672335,309,4313582,0.011158349676843517,0.024545997695075535
622,Latia Capps,67,1672335,140,4313582,0.011525359267735614,0.025326426416361698
1036,Dong Duvall,91,1672335,196,4313582,0.012038578086580367,0.02642614701932276
481,Keely Lara,52,1672335,106,4313582,0.012202779423319552,0.026758213354101137
1481,Shanell Peachey,428,1672335,1015,4313582,0.012361153974051967,0.027076813466970977
1699,Ching Kimball,678,1672335,1636,4313582,0.01260731604414881,0.0275868332044271
2123,Joana Ho,308,1672335,720,4313582,0.012682704439966108,0.027722490169725285
2110,Margot Ray,176,1672335,399,4313582,0.012942389466833938,0.0282602807978336
1726,Loan Brunson,415,1672335,984,4313582,0.013316118466128733,0.0290456957058867
921,Arden Dorman,192,1672335,438,4313582,0.013452983535210822,0.029313343071459372
2124,Rueben Payton,50,1672335,102,4313582,0.013752504726112608,0.029934474009519558
1342,Suellen Rutledge,238,1672335,550,4313582,0.013887062536190958,0.030195608665877397
843,Catalina Funk,76,1672335,162,4313582,0.014268282469347447,0.03099196716846717
1586,Issac Fry,66,1672335,139,4313582,0.014771745350130634,0.0320519002880193
1943,Maryalice Rudd,133,1672335,297,4313582,0.014928968593639454,0.03235912564275777
603,Tabetha Colvin,52,1672335,107,4313582,0.01519126223700136,0.032893214257942276
235,Merrie Caldwell,109,1672335,240,4313582,0.0152084974845942,0.03289612308579937
264,Soledad Palmer,95,1672335,207,4313582,0.015423910125381428,0.03332723795359035
781,Lewis Carrasco,83,1672335,179,4313582,0.015910837137389795,0.0343435170744493
1774,Terrence Wheatley,794,1672335,1931,4313582,0.016298287848150173,0.03514318317257381
2004,Arnita Reaves,141,1672335,317,4313582,0.01653365362708111,0.03561359314053892
844,Vince Arellano,683,1672335,1654,4313582,0.016715652809424865,0.03596819263566473
1115,Miriam Baca,101,1672335,222,4313582,0.017387470778214977,0.03737493718681724
719,Nia Maxwell,727,1672335,1766,4313582,0.018449345072639074,0.03961633226178722
379,Paul Goetz,104,1672335,230,4313582,0.01965255414395766,0.042156256039370316
610,Ivana Barney,347,1672335,822,4313582,0.019925151757820097,0.04269675376675735
824,Arica Curran,78,1672335,169,4313582,0.020969524506221693,0.0448882272263484
1441,Taryn Mcelroy,50,1672335,104,4313582,0.021146087163189893,0.045219421929548635
1517,Manda Mckinley,53,1672335,111,4313582,0.021621962669663437,0.046189332018785674
537,Ricardo Rutherford,56,1672335,118,4313582,0.0219761106148449,0.04689747316776179
599,Dwain Mcmillian,2761,1672335,6913,4313582,0.022313148839506972,0.04756768084220333
1764,Marylou Mackey,49,1672335,102,4313582,0.022460842607568553,0.04783327592352562
1544,Corinne Beam,748,1672335,1823,4313582,0.022654392064904234,0.04819588034362977
515,Son Crowell,144,1672335,327,4313582,0.02270966071182924,0.04826385798099233
2280,Jeremy Sykes,507,1672335,1222,4313582,0.02410962347472132,0.0511865852232545
1478,Rocio Gates,808,1672335,1975,4313582,0.024254182806486387,0.051440736075232404
547,Aldo Fagan,1130,1672335,2785,4313582,0.02432644109685212,0.051541180215438985
2255,Alfredo Gregg,99,1672335,220,4313582,0.025367826432523534,0.05369263876822466
1737,Kandi Bateman,139,1672335,316,4313582,0.025523026817470207,0.053965950472076946
1493,Faustino Ott,85,1672335,187,4313582,0.02628108113218812,0.05551207953431572
1832,Corrine Richard,65,1672335,140,4313582,0.02665436545520629,0.056243156465114186
470,Temple Conner,62,1672335,133,4313582,0.026693388382978293,0.05626814048143083
893,Candie Clevenger,203,1672335,472,4313582,0.026860342046072773,0.0565624700258094
743,Catrina Mendoza,191,1672335,443,4313582,0.027582947827136668,0.05802510366074482
1897,Soraya Downey,510,1672335,1233,4313582,0.0291583789322899,0.06127699938054832
110,Phyliss Howard,66,1672335,143,4313582,0.02972191408708487,0.06239793322542158
600,Odilia Putnam,63,1672335,136,4313582,0.02988076929004913,0.0626678748028386
1377,Corliss Mims,93,1672335,207,4313582,0.030158974790201812,0.06318732572441069
360,Rosio Swift,135,1672335,308,4313582,0.03058205312993519,0.06400894841149225
1776,Hildegard Conway,115,1672335,260,4313582,0.03136803945449494,0.06558771885939851
1336,Cathern Felton,73,1672335,160,4313582,0.03223985383831342,0.06734258067135093
2005,Verda Oldham,782,1672335,1918,4313582,0.03437664759055161,0.07173352874238088
999,Nannie Hutchinson,69,1672335,151,4313582,0.034498066049171834,0.07191439750431591
28,Tanisha Tillman,270,1672335,640,4313582,0.03519939265177743,0.07330255813800732
1460,Mika Banks,417,1672335,1005,4313582,0.03596346902784128,0.07481847325390095
586,Georgine Farr,612,1672335,1494,4313582,0.0388611052407713,0.08076555004859096
210,Tresa Winter,558,1672335,1359,4313582,0.03945057189468562,0.08190840904914667
62,Justine Salas,2192,1672335,5492,4313582,0.03986583919252197,0.08268766245342733
1501,Joetta Robertson,49,1672335,105,4313582,0.0401687640265116,0.083232574108988
2303,Shasta Anderson,107,1672335,243,4313582,0.04081474229077937,0.08448651654191329
