,artist,x,k,m,N,p-val,adj_pval(BH)
2199,Marianne Crow,18,584765,134,4313582,0.4542501563067116,0.8930145118302399
878,Loni Lucas,28,584765,207,4313582,0.4548203587742221,0.8932127376133587
578,Stacie Spann,54,584765,398,4313582,0.4611342319574974,0.9046788076444511
142,Adan Chavez,169,584765,1243,4313582,0.4631949203621173,0.9077857193090723
767,Georgia Dodd,21,584765,157,4313582,0.46858347515370224,0.9172238131348531
1199,Jennie France,36,584765,267,4313582,0.46965927972827304,0.9172238131348531
998,Toby Mason,293,584765,2157,4313582,0.46966195136904615,0.9172238131348531
152,Janetta Hargrove,74,584765,546,4313582,0.46993863258354274,0.9172238131348531
890,Tameika Hedrick,14,584765,106,4313582,0.47145354384971516,0.9182969231791279
1095,Kasie Curran,14,584765,106,4313582,0.47145354384971516,0.9182969231791279
1317,Tanika Yoder,50,584765,370,4313582,0.4719886459749927,0.9183991751435695
2158,Charlsie Bruner,22,584765,165,4313582,0.47697683696268156,0.9262111436122276
1835,Sarita Grover,130,584765,959,4313582,0.4768431672003809,0.9262111436122276
1808,Macie Mcmahan,21,584765,158,4313582,0.4811849448134929,0.9324795824644367
356,Jong Jean,21,584765,158,4313582,0.4811849448134929,0.9324795824644367
898,Norbert Pena,23,584765,173,4313582,0.4849788748256104,0.9388756854457138
717,Clementine Mccarthy,17,584765,129,4313582,0.48618588636856,0.9402558351213107
931,Lenore Church,16,584765,122,4313582,0.49116592087283817,0.9489225862142244
1934,Adam Shipman,32,584765,240,4313582,0.49347744798194815,0.9524214842897033
359,Barbie Compton,42,584765,314,4313582,0.49639062153792357,0.9570733057615689
595,Emery Lusk,230,584765,1702,4313582,0.5030489576080565,0.968929318145882
1774,Terrence Wheatley,261,584765,1931,4313582,0.5040325292682495,0.9698421670348623
565,Ruthanne Tyler,16,584765,123,4313582,0.5054473065080755,0.9715820447321896
1682,Kimiko Nixon,52,584765,389,4313582,0.5066486145254756,0.9729084898506357
977,Joane Dowdy,15,584765,116,4313582,0.5111349444779101,0.9805340719167972
130,Omer Jansen,17,584765,131,4313582,0.513902283409483,0.9828703973148203
505,Mindi Arroyo,27,584765,205,4313582,0.5137228619592691,0.9828703973148203
1167,Michell Medeiros,22,584765,168,4313582,0.5137209285123434,0.9828703973148203
1806,Laticia Walls,31,584765,235,4313582,0.5179149105734964,0.9895502759250638
1529,Miguel Driver,81,584765,605,4313582,0.5186931254360306,0.9900431471462049
1258,Lidia Tompkins,65,584765,487,4313582,0.521017828162041,0.9924894164087729
1526,Elaine Delaney,98,584765,731,4313582,0.5205002825170127,0.9924894164087729
58,Somer Crum,106,584765,791,4313582,0.525252731676046,0.9995559483795156
