,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1924,premium,Valencia Rose,927,3111035,1129,4313582,1.9465407032073717e-15,5.5684243814408796e-15
1499,premium,Cesar Lynch,211,3111035,228,4313582,1.988154070256632e-15,5.680070861318362e-15
2109,premium,Juanita Castillo,138,3111035,143,4313582,2.029830252169712e-15,5.791606576645269e-15
1110,premium,Gertrudis Rivers,200,3111035,215,4313582,2.0646562279732915e-15,5.883332986844775e-15
1442,premium,Denna Horn,145,3111035,151,4313582,2.135970674390672e-15,6.070798928378146e-15
706,premium,Rey Fontenot,145,3111035,151,4313582,2.135970674390672e-15,6.070798928378146e-15
56,premium,Dorathy Looney,256,3111035,282,4313582,2.3277012459570667e-15,6.607182994015085e-15
1159,premium,Gisele Trejo,102,3111035,103,4313582,2.402591632448431e-15,6.8109597632118746e-15
25,premium,Cierra Eaton,210,3111035,227,4313582,2.566056218629799e-15,7.264981330321738e-15
283,premium,Jinny Crespo,137,3111035,142,4313582,2.7372574900868886e-15,7.739710045972837e-15
2209,premium,Shera Lacey,845,3111035,1024,4313582,2.814174982277263e-15,7.946969712163429e-15
475,premium,Earleen Tompkins,675,3111035,806,4313582,2.8909789184615474e-15,8.153377001104004e-15
409,premium,Elma Smith,609,3111035,722,4313582,2.9975138075347988e-15,8.44299722455635e-15
47,premium,Mack Chester,511,3111035,598,4313582,3.0625920153851936e-15,8.61525564379164e-15
2158,premium,Charlsie Bruner,157,3111035,165,4313582,3.209730791600936e-15,9.017619628065546e-15
98,premium,Kala Morton,101,3111035,102,4313582,3.3313256810214514e-15,9.347282913415235e-15
33,premium,Shavon Pittman,192,3111035,206,4313582,3.927792232536052e-15,1.100683614143075e-14
2301,premium,Robby Esparza,394,3111035,452,4313582,4.4470108480306075e-15,1.2445965392513687e-14
1015,premium,Marcelo Diaz,100,3111035,101,4313582,4.619066165157928e-15,1.2911053899302757e-14
979,premium,Richard Tidwell,218,3111035,237,4313582,4.829496681332756e-15,1.3482089210785342e-14
21,premium,Darin Carnes,1552,3111035,1947,4313582,4.984498050802885e-15,1.3897134793926318e-14
1169,premium,Leila Askew,142,3111035,148,4313582,5.153193241583565e-15,1.4349259254447518e-14
652,premium,Frederica Davenport,401,3111035,461,4313582,5.5916985769797435e-15,1.555058452357531e-14
277,premium,Thalia Mattingly,155,3111035,163,4313582,5.665745503101436e-15,1.5736590227956832e-14
1686,premium,Berneice Heck,167,3111035,177,4313582,6.420343318808109e-15,1.7809967514420978e-14
813,premium,Chara Keyes,141,3111035,147,4313582,6.908378044251474e-15,1.9139604745549166e-14
2016,premium,Romana Lopes,256,3111035,283,4313582,7.156986242879219e-15,1.9803398961719952e-14
553,premium,Monroe Sadler,109,3111035,111,4313582,7.721869398120825e-15,2.133955605996409e-14
670,premium,Della Donnelly,5505,3111035,7235,4313582,9.209845179952315e-15,2.541963550295884e-14
106,premium,Cathie Knutson,132,3111035,137,4313582,1.217035014293277e-14,3.354863144795897e-14
1112,premium,Brady Rosa,193,3111035,208,4313582,1.2705528379725677e-14,3.498000733114951e-14
1995,premium,Gita Calhoun,152,3111035,160,4313582,1.3261086656027661e-14,3.646383902790084e-14
992,premium,Tarsha Morrison,229,3111035,251,4313582,1.3516404714204319e-14,3.711942644638361e-14
1624,premium,Kori Zimmer,176,3111035,188,4313582,1.3633602385267063e-14,3.739453737881615e-14
1946,premium,Merrill Walden,170,3111035,181,4313582,1.439430681706954e-14,3.943178563229648e-14
1331,premium,Rema Hancock,145,3111035,152,4313582,1.5375382633173395e-14,4.206689370495884e-14
1965,premium,Marci Lau,3330,3111035,4316,4313582,2.277294100537609e-14,6.222904401593442e-14
477,premium,Randall Dubose,2788,3111035,3592,4313582,2.520883829431641e-14,6.879977358088591e-14
348,premium,Sherron Fletcher,318,3111035,360,4313582,2.5453508497869543e-14,6.938133767967666e-14
1103,premium,Aisha Cook,179,3111035,192,4313582,2.765850852629359e-14,7.529831875126024e-14
195,premium,Jim Nielsen,1395,3111035,1746,4313582,2.82035586355998e-14,7.66871513891247e-14
2216,premium,Galen Davenport,250,3111035,277,4313582,2.860284082485907e-14,7.7676688865532e-14
1048,premium,Karla Bentley,129,3111035,134,4313582,2.971779523006324e-14,8.060493348203573e-14
767,premium,Georgia Dodd,149,3111035,157,4313582,3.09623424001657e-14,8.387702374002965e-14
2251,premium,Kiyoko Mckinnon,999,3111035,1229,4313582,3.436033554842311e-14,9.29675581279379e-14
919,premium,Kaitlin Mcdaniel,113,3111035,116,4313582,3.577458047497611e-14,9.667497331306582e-14
1049,premium,Kaye Mccarthy,104,3111035,106,4313582,3.7831868862129706e-14,1.0198357777926253e-13
1095,premium,Kasie Curran,104,3111035,106,4313582,3.7831868862129706e-14,1.0198357777926253e-13
201,premium,Vivan Jansen,354,3111035,405,4313582,3.872359485911555e-14,1.0425948272730008e-13
470,premium,Temple Conner,128,3111035,133,4313582,4.0000614786584117e-14,1.0756591271251567e-13
466,premium,Leoma Groves,120,3111035,124,4313582,4.798061656566597e-14,1.2886725500582902e-13
841,premium,Malissa Workman,134,3111035,140,4313582,5.340948028563932e-14,1.4316027301326782e-13
1216,premium,Lakita Beal,198,3111035,215,4313582,5.343260076052782e-14,1.4316027301326782e-13
534,premium,Clarice Barron,228,3111035,251,4313582,5.5490744422612474e-14,1.4849350243176566e-13
1165,premium,Augustine Aguirre,3475,3111035,4515,4313582,5.857596882136047e-14,1.5655888503713983e-13
2074,premium,Estella Granger,676,3111035,813,4313582,6.109784403467678e-14,1.6310080600751506e-13
1853,premium,Nadine Hanks,292,3111035,329,4313582,6.169195058758584e-14,1.6448691194287147e-13
216,premium,Willa Russo,164,3111035,175,4313582,7.281943493649764e-14,1.9392036188543674e-13
99,premium,Lucius Sousa,461,3111035,540,4313582,8.58927737936679e-14,2.284581404657244e-13
783,premium,Shenna Mckenna,101,3111035,103,4313582,9.80621972897184e-14,2.605110609981999e-13
1259,premium,Brittaney Fish,238,3111035,264,4313582,1.5233251148354493e-13,4.041962895281983e-13
677,premium,Laure Pruett,116,3111035,120,4313582,1.609510107049497e-13,4.2654930098766525e-13
695,premium,Latonia Pate,161,3111035,172,4313582,1.6306382609965325e-13,4.316279830613713e-13
358,premium,Lakita Vinson,296,3111035,335,4313582,1.6663361903987428e-13,4.405464031655882e-13
353,premium,Jazmine Fowler,218,3111035,240,4313582,1.8719453858209404e-13,4.937171683851868e-13
482,premium,Noriko Ortega,218,3111035,240,4313582,1.8719453858209404e-13,4.937171683851868e-13
2099,premium,Kristie Bailey,208,3111035,228,4313582,1.949170656916955e-13,5.134685771278837e-13
1333,premium,Felipa Wheeler,1340,3111035,1680,4313582,2.2247950026125431e-13,5.853742060766177e-13
1862,premium,Hyon Wilkes,154,3111035,164,4313582,2.2538257960742905e-13,5.923032624372268e-13
1683,premium,Johana Tompkins,148,3111035,157,4313582,2.2898458049500596e-13,6.010503265800814e-13
1589,premium,Annetta Hightower,1279,3111035,1600,4313582,2.3110412699704427e-13,6.058899367691006e-13
217,premium,Evita Woodard,365,3111035,421,4313582,2.397597537287927e-13,6.27833347964431e-13
108,premium,Art Hollingsworth,276,3111035,311,4313582,2.8550209232758765e-13,7.467239248139406e-13
567,premium,Yelena Rowell,153,3111035,163,4313582,2.9567583206041604e-13,7.724135589021808e-13
1201,premium,Erik Wilcox,146,3111035,155,4313582,3.9719440283102727e-13,1.0363849204510296e-12
73,premium,Kayla Hensley,300,3111035,341,4313582,4.278926670811711e-13,1.115160367232898e-12
432,premium,Ashlea Dunlap,163,3111035,175,4313582,4.304777650689565e-13,1.120568305517177e-12
923,premium,Felisa Loomis,133,3111035,140,4313582,4.746724831815798e-13,1.2341484562721074e-12
2018,premium,Celestina Sparks,466,3111035,549,4313582,4.852173612469025e-13,1.2600739274934335e-12
162,premium,Geralyn Harley,168,3111035,181,4313582,4.918338588403201e-13,1.2757485098845137e-12
259,premium,Renate Duckworth,647,3111035,780,4313582,5.224935879104033e-13,1.3536773733952313e-12
68,premium,Jared Katz,112,3111035,116,4313582,5.381649337830256e-13,1.392636465867264e-12
1883,premium,Lina Kinsey,281,3111035,318,4313582,6.257555974647395e-13,1.6173941736823914e-12
1128,premium,Nelda Mcrae,567,3111035,678,4313582,6.684759158278568e-13,1.7257832985591086e-12
1456,premium,Rich Johnston,125,3111035,131,4313582,7.272594816498311e-13,1.8753392971651163e-12
861,premium,Toney Wallis,124,3111035,130,4313582,9.707291683643569e-13,2.5002250678739648e-12
1375,premium,Paula Aponte,211,3111035,233,4313582,9.733796745373016e-13,2.5041160947991235e-12
1088,premium,Katharine Malone,176,3111035,191,4313582,9.771643071405404e-13,2.510912260570488e-12
1380,premium,Marcelina Rose,110,3111035,114,4313582,9.82808767587219e-13,2.51952259321951e-12
1316,premium,Joeann Stanton,110,3111035,114,4313582,9.82808767587219e-13,2.51952259321951e-12
266,premium,Chandra Guzman,206,3111035,227,4313582,1.0148493959671715e-12,2.5986295139159393e-12
1910,premium,Myrtie Salazar,412,3111035,482,4313582,1.0470572795160774e-12,2.677980026888035e-12
2008,premium,Caprice Petersen,191,3111035,209,4313582,1.0690259321860272e-12,2.730988340712444e-12
1254,premium,Sumiko Main,234,3111035,261,4313582,1.078090964183933e-12,2.750947559015216e-12
2270,premium,Albertina Alvarez,148,3111035,158,4313582,1.1429602777783726e-12,2.9130901743376854e-12
944,premium,Chang Carson,256,3111035,288,4313582,1.2111556356905706e-12,3.083324370350155e-12
2208,premium,David Hoyt,1015,3111035,1259,4313582,1.2169349334351506e-12,3.094451445320632e-12
1452,premium,Delores Clement,2189,3111035,2811,4313582,1.4450853085889079e-12,3.666111342921283e-12
2277,premium,Piper Heller,294,3111035,335,4313582,1.4444271181089955e-12,3.666111342921283e-12
739,premium,Becky Fowler,209,3111035,231,4313582,1.5533963638266654e-12,3.936345803145541e-12
1714,premium,Janine Dale,241,3111035,270,4313582,1.714142393788897e-12,4.338676081974893e-12
